Wavelength (nm),H2O,prot_2,prot_4,prot_8,prot_12,prot_16,prot_20,prot_24,prot_28,prot_32,prot_36
280,0.000189294,0.005117035,0.011040696,0.020868689,0.031043038,0.04120592,0.051336955,0.0655737,0.070464015,0.081496313,0.091486536
281,-6.02E-05,0.005618418,0.009699135,0.020326503,0.030557461,0.040218886,0.051813416,0.064114071,0.069124758,0.080384694,0.089800499
282,0.000659428,0.005826075,0.01068021,0.019913727,0.030025851,0.040977769,0.050200786,0.063187614,0.068848304,0.079152241,0.088850617
283,-0.000583647,0.004155803,0.009397105,0.018592203,0.028446386,0.039167799,0.048550472,0.061704792,0.066026591,0.076332532,0.086002558
284,-0.000321695,0.005168323,0.010236874,0.018953696,0.027911361,0.037246894,0.046535265,0.058784097,0.062649593,0.072658516,0.082615227
285,-0.000110157,0.004882463,0.008423408,0.016431779,0.026370909,0.034769986,0.043725468,0.055027921,0.057462718,0.067344375,0.075833529
286,0.000104903,0.004815346,0.008733319,0.015528497,0.024004111,0.031932592,0.040524326,0.051596679,0.053612191,0.061790645,0.06939555
287,0.001304669,0.004132883,0.007564798,0.01458051,0.021160243,0.029380014,0.035448413,0.046640277,0.047914259,0.056185085,0.062955938
288,-0.000977544,0.003025896,0.005787196,0.011930346,0.019325014,0.025705433,0.032204125,0.041764338,0.041804552,0.049953692,0.056575295
289,0.000168032,0.003093571,0.006005353,0.011265362,0.016537527,0.022959072,0.029446023,0.037763871,0.037908811,0.044577327,0.05031753
290,0.000839179,0.003947714,0.005676479,0.011742009,0.016434038,0.02189686,0.026674798,0.034377243,0.034125093,0.039757557,0.044583149
291,4.34E-05,0.002212951,0.005243878,0.008353552,0.013569655,0.017896906,0.023157962,0.029463338,0.028126258,0.033359662,0.037671316
292,-0.001098608,0.001561735,0.003171556,0.006056248,0.010491858,0.015145639,0.018765047,0.024456063,0.022873031,0.027457124,0.031437311
293,0.000541665,0.001603538,0.002498204,0.006413939,0.009505969,0.012847976,0.015212656,0.021784056,0.018364932,0.022252286,0.025523327
294,-0.000727873,0.001157557,0.002750533,0.005707611,0.007997345,0.009987681,0.012836964,0.018053444,0.014518488,0.01836404,0.021156574
295,9.37E-05,0.000683928,0.002898655,0.004519334,0.006074019,0.008174541,0.010621104,0.016364036,0.012396536,0.015215444,0.016455384
296,-0.000144989,0.000779167,0.002006676,0.003495772,0.006322237,0.008099265,0.008824238,0.013536726,0.010514931,0.013002623,0.014306152
297,0.00122816,0.001929783,0.001935737,0.003561824,0.005799053,0.007257957,0.008222921,0.012828778,0.00823379,0.011126523,0.013104632
298,-0.000234671,0.000615046,0.00253804,0.002594884,0.004111559,0.005598017,0.007195314,0.011489373,0.006823831,0.008694892,0.011094893
299,0.000676461,0.000486851,0.002221485,0.002152879,0.003187306,0.005438093,0.00690938,0.010404036,0.005737119,0.00726967,0.008550271
300,0.000557475,0.001319053,0.002200254,0.001157635,0.002597566,0.003216278,0.004632634,0.009129597,0.004323281,0.005337581,0.007246006
301,-0.000544713,-0.000491762,-0.000285946,0.000677731,0.001862653,0.002309489,0.004404809,0.007766088,0.002653845,0.003747011,0.004464931
302,0.000223868,0.000677446,0.001346109,0.002348397,0.002045244,0.00260715,0.004458079,0.007183682,0.003158362,0.004847725,0.004919691
303,0.000487292,0.000814956,-0.00071521,0.00045889,0.00245366,0.002658194,0.003208429,0.006294238,0.001428482,0.003034967,0.003953514
304,0.00028774,0.00114406,0.000866724,0.001082761,0.002632749,0.002922083,0.00390135,0.007464609,0.000915879,0.003736697,0.004762424
305,-0.00010907,0.001140167,0.001256353,0.001493415,0.00072645,0.001024558,0.003090859,0.005702261,0.002350167,0.003318491,0.003475131
306,0.000900444,0.000735525,0.002246178,0.002004803,0.002555824,0.002980985,0.003495511,0.006135266,0.001817576,0.002951324,0.002527859
307,0.000972277,0.001219516,0.00088859,0.002500547,0.002666112,0.002015804,0.002990081,0.006302932,0.000849113,0.002878278,0.002777471
308,0.000507688,0.000852925,0.001155896,0.001190521,0.0004861,0.002929302,0.002941004,0.005409654,0.001644383,0.003270499,0.00218493
309,0.001335515,0.002310894,0.00068302,0.001880903,0.003268725,0.003269455,0.003719674,0.005269162,0.002954452,0.002266942,0.002832835
310,-0.001024186,2.75E-05,0.001230289,-2.53E-05,0.000605532,0.001044434,0.002485161,0.00348202,-0.000706681,0.00012194,0.00181625
311,9.50E-05,0.000866542,-9.42E-06,-0.001443795,0.001089923,0.000879901,0.001630144,0.004881023,0.000883324,0.000815474,0.001707503
312,-0.000245071,0.000818509,-0.000210661,-0.000570928,0.00122206,0.001611047,0.002889352,0.003902995,0.00023661,-0.000102755,0.001482662
313,-0.001817374,-0.000915346,0.000709492,0.00028414,0.001020147,0.000464928,0.001948452,0.003136225,0.000994823,0.001469727,0.002012319
314,0.000727357,0.000560689,0.001650801,0.00167385,0.001574335,0.001830782,0.001821319,0.00400234,0.001346655,0.00225224,0.000162258
315,0.000390769,0.001068099,0.001333152,0.001837384,0.001498195,0.001366441,0.002549627,0.003542459,0.001688558,0.000431008,0.001373583
316,0.000773721,0.002938346,0.00248943,0.002581369,0.003353551,0.00353061,0.003528784,0.005687442,0.001221671,0.003304693,0.004024051
317,-0.001533105,-0.000823635,-6.68E-05,-0.001836861,0.000412767,0.000475319,0.000884025,0.00171413,-0.000494399,-0.000433736,0.001599199
318,-0.000195343,0.001584806,0.000966206,0.000319784,0.002686168,0.000890017,0.002282009,0.004263544,0.000559264,0.000629563,0.00257827
319,0.001555526,0.002604077,0.001559917,0.001405472,0.001621933,0.003072037,0.002390614,0.00425544,0.001929185,0.00386071,0.004485933
320,-0.000133085,-0.000293344,3.32E-05,-0.000396133,0.001373686,0.001573218,0.002718154,0.004038917,0.001123401,0.001762705,0.002247609
321,0.000410357,0.001183071,0.000427743,0.001072069,0.001603616,0.002428331,0.002113339,0.004368906,0.002358938,0.002971002,0.001817446
322,0.00102339,0.002679343,0.001632612,0.001517885,0.002034789,0.002689866,0.001884465,0.00391535,0.001269256,0.002517731,0.00201869
323,0.000521164,0.002152957,0.000553743,0.000354912,0.002435516,0.002537832,0.002410344,0.003803752,0.000910146,0.001585949,0.003186394
324,-0.000590575,0.000347399,0.00081231,-0.00103307,0.000911235,0.000933181,0.001679827,0.002898082,0.000456506,0.000744756,0.003458144
325,-0.000495175,0.000897461,-0.00014825,-0.000526719,-0.000162533,-0.000436632,0.00089785,0.002031798,0.000725127,0.000596771,0.00205185
326,-0.000674117,0.000717219,3.65E-05,0.00077118,0.000881094,0.000682709,0.001270995,0.002294343,0.000997106,0.000519868,0.002105509
327,0.000204029,0.001801018,0.002200358,0.001186134,0.000712707,0.001868684,0.002827649,0.00332037,0.001398097,0.001742354,0.001707633
328,0.000265024,-0.000103946,0.001530561,-0.001582216,6.59E-05,0.001502039,0.001831977,0.002548143,-0.000283152,0.00088265,0.002403368
329,-0.000353717,0.000739648,0.000103712,0.000342296,0.001583273,0.001800264,0.00266942,0.004019505,0.000661061,0.002009198,0.001751295
330,0.001464584,0.000655954,0.001675851,0.000911287,0.001941822,0.000306391,0.001853008,0.00419417,0.000949266,0.001615152,0.003610241
331,0.000217756,0.000299397,0.000929031,-0.000122786,0.001146344,-0.000165432,0.000751109,0.003332499,0.000811792,0.001027412,0.001041008
332,0.000686235,0.001721641,0.000547497,0.000449613,0.000510046,0.002355346,0.000966933,0.003145507,0.002541894,0.001137546,0.001235247
