Wavelength [nm],H2O_2ml,prot_2,prot_4,prot_6,prot_8,prot_10,prot_12,prot_14,prot_16
942,-0.002306461,-0.000500679,-0.000966072,9.58E-05,-0.000308037,0.000751019,-0.000330448,0.000440121,0.00133419
943,0.000902653,0.000305176,0.0017066,-0.000407219,-0.001537323,-0.001077175,-0.001480103,0.001285553,-0.001302242
944,-0.001805305,-0.002002716,-0.00271225,-0.005310059,-0.003211975,-0.004216671,-0.003397942,-0.002923012,-0.003299236
945,0.001918316,-0.001859188,0.001969814,0.000124931,0.00201273,0.002975941,0.002874374,0.001933575,0.002998829
946,-0.000781536,0.001633644,-0.000120163,-0.001912594,0.003017426,0.001509666,0.000764847,-0.000893116,0.003609657
947,0.002608776,-0.001963139,0.001254082,-0.003947735,-5.63E-05,-0.001537323,0.001769543,0.000571728,0.00133419
948,0.001566887,0.000555992,0.000937462,-0.002521038,-0.000402451,0.001487255,-0.000332356,0.002256393,0.001766205
949,0.005252838,0.001622677,0.001245975,-0.000273705,0.001480579,0.001550674,0.004772186,0.001254082,0.002020359
950,0.000927925,-5.29E-05,-0.002295494,-0.001232147,-0.002188683,-4.20E-05,-0.003411293,0.002094269,0.002014637
951,-0.002590179,-0.004070282,-0.003667831,-0.004864693,0.000677109,-0.000578404,-0.002402306,-0.001690388,-0.004006863
952,-7.53E-05,0.000858307,0.000953674,-0.00114727,-0.000240803,0.00297308,0.003109455,0.00210619,0.002782822
953,0.005989552,0.000219822,0.005206108,0.002668381,0.001376629,0.003817081,0.003485203,0.002213001,0.003706932
954,0.002058983,-0.000418663,-0.004038811,-0.00263834,-0.000506878,0.000828266,0.00037384,-0.000843048,0.001815796
955,-0.001355171,-0.001238346,0.000405788,-0.002178192,-0.000892162,-0.000661373,-0.001188278,0.001692772,-0.001199722
956,-0.003995895,-0.001869678,-5.39E-05,0.001476288,0.001880646,0.004522324,0.000910282,0.00194931,0.000431061
957,-0.002512932,-0.004913807,-0.004609108,-0.000620365,-0.003315449,-0.004300594,-0.00115633,0.001978874,-0.00129652
958,0.000693798,0.002018929,-0.000645638,-0.004855156,0.000107288,0.003128529,0.000174046,0.002524853,0.000906944
959,0.001660347,-0.001206875,-0.00101614,-0.003631115,-0.001626015,-0.003369808,0.001021862,0.004187584,-0.0012393
960,-0.001252174,0.000671864,-0.002467632,-0.002851009,-0.00143528,0.001655102,0.006482124,0.001553535,-0.002825737
961,0.006716728,0.00726223,0.007353783,0.002911091,0.002081394,0.001068115,0.002697945,0.005877018,0.006244659
962,0.002463818,0.001513958,0.004064083,0.001206875,0.000663281,0.004346371,0.004370689,0.006266594,0.00641346
963,-0.001946926,-0.002518654,0.001706123,-0.003690243,-0.000351906,-0.001228809,-0.002126217,0.003040314,0.002020836
964,-0.004029274,0.001330853,-0.005806923,-0.000607491,-0.00901556,-0.000331402,0.001136303,-0.001806259,0.00549078
965,-0.001033306,-0.000861168,0.001378536,-0.000840664,-0.000185967,0.001324654,0.002937317,-0.000622749,-0.002389908
966,-0.006006241,-0.004734993,-0.0042696,-0.007874966,-0.002527237,-0.004055023,-0.000828266,-0.003219604,-0.000918865
967,0.002484798,0.003174305,0.002110958,-0.002630234,0.002657413,0.000591278,-0.001235962,0.003029823,-0.000700951
968,0.004672527,0.000613689,-0.001964569,0.003372192,-0.000903606,0.000858307,-0.000439167,-0.002034187,0.005318165
969,0.000213146,0.001983643,0.001709461,0.000388622,-0.001768112,-0.003780842,-0.005867004,-6.15E-05,-0.001778126
970,-0.000481129,-0.002778053,0.002599239,-0.008146286,-0.006204128,-0.005747795,0.000506878,1.43E-05,-0.000188828
971,-0.00336504,0.002249241,-0.009156704,-0.00267458,-0.007346153,-0.000573635,-0.004478455,-0.000500679,-0.00454092
972,0.001356602,0.006376266,0.002725124,-0.003252983,-0.005829811,-0.002300262,-0.003649235,0.003837585,0.001631737
973,-0.006052971,-0.002454281,-0.004664898,-0.004807949,-0.006446838,-0.005111217,-0.005802631,0.005777359,-0.003808022
974,0,0,-0.004500866,0,-0.002256393,0,-0.006733418,-0.004500866,0.002267838
975,-0.001339912,-0.01274109,-0.003032684,-0.0014925,-0.007521152,-0.002572536,-0.01209831,-0.003010273,-0.003688812
976,0.003489971,0.005414963,0.005703449,-0.000396729,0.00082159,0.004721165,0.005090237,0.002149105,0.004579067
977,-0.00632143,0.002383232,-0.005874157,-0.000226021,-0.002667904,-0.005774975,-0.00623703,-0.001550674,-0.002691746
978,0.000516892,-1.10E-05,-0.008242607,-0.006484509,-0.004136562,-0.01029921,-0.009223938,-0.003252983,-0.006173134
979,-0.000130653,-0.002559662,0.000259399,0.009895802,0.007530689,0.002745152,0.004869461,0.004495621,-0.002726078
980,0.002128124,0.001349926,-0.000341892,-0.006646633,-0.001394272,-0.003023624,-0.01099396,-0.01160336,-0.004332542
981,0.001088142,-0.000545502,0.001004219,-0.000620842,-0.004822731,0.001852036,-0.00933075,-0.004929066,0.001832962
982,-0.00924921,-0.009091854,-0.006532669,-0.01029873,-0.009764194,-0.009207249,-0.01377344,-0.01046944,-0.007742882
983,0.001644135,0.002233982,-0.003274441,0.001960278,0.002559185,-0.000760555,0.002315998,-0.000642777,0.004908562
984,0.002834797,-0.001422882,-0.001788616,-0.002381802,-0.006139278,0.001961231,-0.009255886,-0.001288891,-0.000936031
985,-0.01029587,-0.001735687,-0.006122112,-0.00514698,-0.001432419,-0.001687527,-0.003683567,-0.007992744,-0.003409863
986,0.002612114,0.002833366,0.001186371,-0.00380373,-0.009019852,-0.005629539,-0.005476952,0.001174927,0.000706673
987,0.004486084,0.004884243,-0.009554863,-0.00526619,-0.005548954,-0.003954887,-0.000342846,0.003572941,0.003056049
988,0.002811909,0.00298214,-0.002935886,-0.006063461,-0.000212669,-0.009009838,-0.008984089,-0.003070831,0.002945423
989,-0.008538723,0.001485348,-0.002925873,-0.008226395,-0.01798534,-0.0121007,-0.01023293,-0.006226063,-0.00906992
990,-0.006354332,-0.0169673,-0.005968571,-0.01050997,-0.009408951,-0.006715775,-0.01638222,-0.007063866,-0.01460266
991,-0.001628399,-0.005770683,0.002450466,-0.000715256,-0.00094223,-0.01317549,-0.01443291,-0.002175808,-0.002733231
992,-0.01265669,-0.01945925,-0.01262379,-0.005949974,-0.01786566,-0.01130056,-0.004258633,-0.01861191,-0.01595402
993,0.004489422,0.007080555,0.003453732,-0.000362396,-0.01121569,-0.000738621,-0.004631042,-0.008788586,-0.00274992
994,0.001957893,0.000639439,-0.01295614,-0.00937748,-0.003760815,-0.006649017,-0.01531982,-0.01104259,-0.01208973
995,-0.00093317,0.009260654,-0.0121417,-0.00189209,-0.005960941,-0.01036119,-0.01222944,-0.01501989,-0.01259232
996,0.005578995,0.007897377,-0.002784252,-0.006924629,0.002015591,-0.001412868,-0.003573895,-0.002598763,-0.001849174
997,0.003585815,0.007194519,0.006941795,-0.00329113,0.003553391,-0.003117561,0.000254154,-0.003241539,-0.003234863
998,-0.007893085,-0.007425785,0.000970841,-0.01721287,-0.0074687,-0.01151276,-0.01576805,-0.009259701,-0.01380301
999,-0.006351471,0.006031036,0.004151821,-0.01249838,-0.01075411,0.004943848,-0.007757187,-0.007410049,-0.01299572
1000,-0.01154804,-0.008559227,-0.007259846,-0.02000475,-0.009959221,-0.006845951,-0.01836443,-0.01499033,-0.007566929
1001,-0.000339031,-0.01638746,-0.00999403,-0.01155519,-0.01310539,-0.02185631,-0.009964943,-0.02126837,-0.02766418
1002,-0.01191282,-0.02434111,-0.02229643,-0.01522636,-0.02115774,-0.01466036,-0.02990913,-0.02186584,-0.01753759
1003,-0.007888794,-0.003549576,-0.01225901,-0.01198816,-0.000751972,-0.01754856,-0.01371479,-0.01809216,-0.01250792
1004,-0.01323986,-0.0136838,-0.007698059,-0.01707029,-0.01285267,-0.01337862,-0.0132618,-0.02565241,-0.01529503
1005,-0.00363493,0.000125885,0.002950191,-0.009409904,0.002711773,-0.007344246,-0.01610565,-0.007238388,-0.02059031
1006,0.01195765,0.003836155,0.01206255,-0.004107475,-0.003802299,-0.007827759,-0.000193596,8.77E-05,-0.003950596
1007,-0.006702423,-0.001963615,-0.00664711,0.006079197,-0.00924921,-0.007542133,-0.001924992,-0.01434422,-0.02134418
1008,-0.007835388,-0.01059389,-0.005747318,-0.01038456,-0.009060383,-0.001178741,-0.009230614,-0.0110383,-0.01032162
1009,0.009428501,0.008327484,0.00626564,-0.007139683,-0.005677223,-0.007115841,-0.00682497,-0.005742073,-0.0046525
1010,-0.01873255,0.00320816,-0.01632071,-0.01321888,-0.01329184,-0.02184677,-0.01711941,-0.01267672,-0.0210557
1011,0.01789856,0.01160002,-0.004330158,-0.01077652,-0.01053858,-0.008901119,-0.008850574,-0.01876688,-0.01297522
1012,-0.01177359,0.002664566,-0.01152611,-0.01012182,-0.01333714,-0.01680374,-0.01999283,-0.01346445,-0.01654148
1013,-0.000504971,0.006925583,-0.006270885,0.002099037,-0.005912304,-0.003863335,-0.01003599,-0.01195288,-0.01746511
1014,0.02237463,0.01831055,0.01329136,0.00193882,0.002295017,0.006443024,-0.002991676,0.005226612,-0.00553751
1015,-0.00053978,-0.01944876,-0.01493835,-0.01022291,-0.01481342,-0.01948738,-0.01463366,-0.01023483,-0.01948118
1016,0.001764297,0.00119257,-0.0141511,-0.02399349,-0.01345778,-0.01132965,-0.01821089,-0.01995897,-0.01661348
1017,-0.007818699,-0.02445459,-0.02162552,-0.02862978,-0.02873755,-0.02869511,-0.02718401,-0.02672911,-0.02016449
1018,0.005762577,-0.009843826,-0.01547718,-0.01856089,-0.008736134,-0.03047419,-0.03392792,-0.0160718,-0.02237749
1019,-0.03538179,-0.0114789,-0.03163767,-0.02692318,-0.03625774,-0.03183317,-0.02681065,-0.03659725,-0.0312047
1020,-0.002639294,0.009827614,-0.01487827,-0.006518841,-0.008252621,-0.01500273,-0.0198884,-0.0146246,-0.02922726
1021,0.008319378,-0.000679016,-0.003027439,-0.01866341,-0.01084661,-0.01675034,-0.01019335,-0.01402998,-0.005342484
1022,0.002128601,-0.01356745,-0.003413677,-0.01361132,-0.01540422,-0.01367092,-0.02581215,-0.03298235,-0.01261806
1023,-0.01032495,-0.002490044,-0.01683807,-0.01205111,-0.01044416,-0.03235626,-0.01182795,-0.01313734,-0.01669931
1024,0.006049156,-0.006539822,-0.00322628,-0.01233435,-0.02720499,-0.009601116,-0.02143478,-0.02198553,-0.01618147
1025,-0.008010864,-0.002803802,0.02067757,-0.007940292,0.005949497,-0.01300955,-0.005189419,-0.000522614,-0.01104975
1026,-0.001308441,-0.00426054,-0.01254082,-0.007470131,-0.01110172,-0.02261019,-0.01284122,-0.02698135,-0.02854252
1027,-0.001629353,0.003572464,-0.004846573,-0.005069733,-0.000763416,-0.01317549,-0.01123524,-0.006667614,-0.03087902
1028,0.01805639,0.005528927,-0.000308514,0.004897594,0.00464201,-0.0175972,-0.01769781,-0.00065136,-0.01699734
1029,-0.006690979,-0.009998322,-0.01035738,-0.02558804,-0.0257616,-0.02793932,-0.02229452,-0.02618217,-0.02014256
1030,-0.003675461,-0.004031181,-0.03350449,-0.0180254,-0.01559067,-0.03660202,-0.02505684,-0.02429104,-0.02629328
1031,0.007867336,0.01030302,0.02068615,0.01082754,-0.006229877,-0.02126789,-0.002525806,0.002954006,-0.02078056
1032,0.000267506,-0.01302862,-0.01261425,-0.01271725,-0.01316738,-0.01925659,-0.03135443,-0.01930714,-0.01911926
1033,-0.006028175,0.01683283,0.009449959,0.00562048,0.01415777,-0.0157032,-0.02057743,0.002449036,-0.02675009
1034,-0.008868694,-0.01443529,-0.01102638,-0.03288937,-0.0282073,-0.027843,-0.03301096,-0.02016497,-0.02584648
1035,0.01625586,0.02417231,0.006724834,-0.000284195,0.009829998,0.005665779,-0.01203537,-0.01048613,-0.00055027
1036,-0.004224777,-0.03230047,-0.01154232,-0.02390957,-0.003186703,-0.01113892,-0.01214886,-0.0272851,-0.04995394
1037,0.000173092,0.01361609,-0.01897097,-0.01912451,-0.0271554,-0.01198721,-0.02099514,-0.01021814,-0.02866173
1038,-0.02157354,-0.02614546,-0.0114727,-0.02842474,-0.03212166,-0.03147793,-0.02856779,-0.04498053,-0.04133463
1039,-0.008247852,-0.01363611,-0.02450514,-0.01024151,-0.02443027,-0.03147221,-0.0289216,-0.03438234,-0.03916264
1040,0.007033825,-0.01806259,-0.008681297,-0.03740215,-0.02232361,0.007086754,-0.01363611,-0.03074789,-0.01510286
1041,0.01602888,0.007833004,-0.007270336,0.01799536,0.002179146,0.009419918,-0.03743124,-0.02178431,-0.008224964
1042,0.003623962,0.007369041,-0.01737165,-0.01464081,-0.006917477,-0.01334524,-0.0244875,-0.01701069,-0.02986097
1043,0.002097607,-0.001598358,-0.02392435,-0.01955795,-0.01581097,-0.009700775,-0.00180769,-0.03289223,-0.02092028
1044,-0.01789808,0.01968336,0.01407194,0.000875473,-0.03426552,-0.02849483,-0.02018547,-0.01838684,-0.03945589
1045,0.001031399,-0.02891254,-0.05646563,-0.03962708,-0.03781986,-0.03497744,-0.04480886,-0.0364089,-0.06249142
1046,0.01881123,0.03169727,-0.007531166,0.00976181,-0.005638123,0.02184391,0.01293468,-0.000563145,-0.01821136
1047,0.03129101,0.02715206,0.01342535,0.02103281,0.01218748,0.007034779,0.001878738,-0.02126026,-0.02216434
1048,0.009113789,0.02008247,0.009048462,-0.01966763,-0.01914454,-0.01056385,-0.002832413,-0.01739979,-0.03739309
1049,0.007468224,-0.01009274,0.02639866,-0.01811647,-0.008516788,-0.008918285,-0.000688076,-0.01694489,0.00035429
1050,0.00296402,-0.004356384,-0.01037741,-0.02861261,-0.01160812,-0.01106215,-0.009470463,-0.01244354,-0.02295399
1051,-0.004165649,-0.02185631,-0.01164007,-0.0454483,-0.05893898,-0.03373146,-0.02283764,-0.04517841,-0.04914808
1052,-0.01708174,-0.0568285,-0.02031088,-0.03571415,-0.007763386,-0.04504633,-0.03848886,-0.05345106,-0.06341171
1053,-0.02316189,-0.01176548,-0.04481411,-0.04486275,-0.05584574,-0.02292585,-0.06541872,-0.04452658,-0.05475855
1054,0.01725006,-0.04696941,-0.01528168,-0.03369427,-0.01906157,-0.01202822,-0.02074432,-0.02856398,-0.02978849
1055,-0.0110631,-0.0144496,-0.03951502,-0.03666306,-0.02293158,-0.02399635,-0.05998516,-0.01961899,-0.03426361
1056,-0.03811264,-0.01789522,-0.06675339,-0.04082918,-0.04817009,-0.07901525,-0.07839012,-0.07365513,-0.07561684
1057,0.000263691,-0.07251978,-0.04975033,-0.02570534,-0.02532148,-0.03743267,-0.02567911,-0.0254755,-0.02526569
1058,0.01265287,-0.0171442,-0.06251955,-0.05172491,-0.04542017,-0.04390192,-0.04860592,-0.06059599,-0.0582037
1059,-0.01416159,-0.01133823,-0.03373957,-0.02468729,0.003854752,-0.03780556,-0.05307102,-0.04235411,-0.05487347
1060,0.01489878,0.02765703,0.006500244,-0.01459169,-0.01422691,0.01265621,-0.009449005,-0.009334564,-0.03606939
1061,-0.0413928,-0.01424074,0.02996302,0.01472282,0,0,-0.02802896,0,-0.0413928
1062,0.04502487,0.02746296,-0.03616619,0.005636692,-0.04241276,0.03972769,-0.02555037,-0.01600313,0.005338192
1063,-0.01022911,0.002884388,-0.001768589,-0.04535341,-0.02822447,-0.05271578,-0.07579613,-0.0483017,-0.05481577
1064,0.01867151,0.01912928,-0.007048607,-0.01537561,-0.02019501,-0.05242157,-0.01334858,-0.03414822,-0.01087618
1065,-0.02802896,-0.01424074,-0.01424074,-0.06694698,-0.01424074,-0.02802896,-0.06694698,-0.05435801,-0.06694698
1066,0.009946346,-0.02994299,-0.03948116,-0.0177784,-0.04473925,-0.02910757,-0.03121567,-0.03518438,-0.04351282
1067,-0.02331448,-0.004974365,-0.03983307,-0.05755568,-0.004817963,-0.05442429,-0.04836988,-0.03636456,-0.07248831
1068,-0.06548166,-0.08397436,-0.04787493,-0.01861906,-0.07689238,-0.1002049,-0.07500553,-0.07958221,-0.08840942
1069,0.000371456,0.01891565,-0.01787519,-0.03613615,-0.01768875,-0.08154964,-0.04996014,0.00031805,-0.05055618
