Wavelength [nm],TBS,599_400_2,599_402_4,599_404_6,599_406_8,599_408_10,599_410_12,TBS2,599_400_2,599_402_4,599_404_6,599_406_8,599_408_10,599_410_12
267,0.01183462,0.05563688,0.07376242,0.09368658,0.1154752,0.128571,0.1515069,0.02155924,0.2235985,0.4099607,0.5971661,0.7810135,0.9768047,1.141472
268,0.01191473,0.05664825,0.07536364,0.09589911,0.1185617,0.133008,0.156991,0.02167511,0.2324262,0.4264946,0.6224794,0.8142962,1.016669,1.192188
269,0.01201963,0.05735302,0.07658958,0.09811354,0.1213884,0.1364589,0.1613092,0.0212326,0.2394753,0.4409766,0.6434674,0.8422575,1.051935,1.235011
270,0.01148319,0.05751371,0.07745314,0.09922361,0.1235628,0.1392126,0.1644034,0.02065134,0.2449188,0.4513831,0.6617928,0.8670321,1.084535,1.26972
271,0.01182556,0.05800056,0.07888317,0.1011562,0.1256776,0.1422424,0.1678343,0.02080345,0.2511859,0.4639401,0.6787381,0.8877869,1.109838,1.298789
272,0.01169968,0.05845213,0.07955647,0.1027799,0.128171,0.1451135,0.1711469,0.02017498,0.2572079,0.4766436,0.6964402,0.914217,1.141576,1.339448
273,0.01191521,0.05916548,0.0805378,0.1042728,0.1303153,0.1482139,0.1750755,0.02024269,0.2630463,0.4873285,0.7143607,0.9345412,1.171683,1.370308
274,0.01187325,0.0591898,0.08125496,0.105896,0.1317973,0.1504292,0.1779008,0.01970577,0.2686105,0.4979739,0.7295785,0.9540782,1.194539,1.401236
275,0.0112977,0.05975246,0.08196306,0.1068769,0.1336432,0.1525054,0.1808395,0.01940107,0.2735453,0.5070791,0.7444148,0.9754462,1.21928,1.42976
276,0.01138306,0.05976295,0.0829401,0.1079402,0.1352806,0.1550865,0.1831346,0.01979256,0.2781072,0.5173407,0.7583351,0.9921279,1.239555,1.455044
277,0.01195908,0.06045198,0.08347082,0.1088281,0.1364985,0.1562872,0.1852503,0.0194521,0.2805185,0.5215931,0.7655363,1.002655,1.252429,1.476763
278,0.0119772,0.06012964,0.08335209,0.1087446,0.1364079,0.1560783,0.1849742,0.0195508,0.2805619,0.5229292,0.7680907,1.005237,1.255621,1.482452
279,0.0112071,0.05905247,0.08202744,0.107223,0.1347656,0.1533508,0.1820512,0.01877403,0.2764988,0.5149689,0.7547407,0.9906077,1.236113,1.447407
280,0.0115242,0.05844688,0.08085108,0.1053805,0.1324539,0.1505432,0.1790576,0.01864338,0.2705164,0.5044541,0.7390881,0.9689074,1.211727,1.425067
281,0.01120138,0.05783796,0.07967234,0.1036692,0.1300821,0.1485605,0.1753626,0.01839781,0.2655792,0.4956498,0.7281394,0.94977,1.188478,1.391191
282,0.0115118,0.05766392,0.07851076,0.1025462,0.1280575,0.1458335,0.1727414,0.01834869,0.2615247,0.4881954,0.7149453,0.9347157,1.167334,1.373513
283,0.01140165,0.05657101,0.07754946,0.1003833,0.1256213,0.143002,0.1693316,0.0179987,0.2558718,0.4777417,0.6981134,0.9149785,1.140742,1.345716
284,0.01158381,0.05544043,0.0753994,0.09778214,0.1220074,0.1383519,0.1637511,0.01793957,0.2462125,0.458663,0.6725554,0.8792262,1.102001,1.291249
285,0.01145697,0.05379725,0.07182693,0.09301662,0.1157179,0.1303082,0.154386,0.01740122,0.2312565,0.4306073,0.6297612,0.8230472,1.031089,1.214526
286,0.01105642,0.0515275,0.06794977,0.08723116,0.1081676,0.1210098,0.1434693,0.01714039,0.2133794,0.3968582,0.5780196,0.7595086,0.9454103,1.11086
287,0.01134586,0.05008745,0.06421757,0.08217669,0.1016016,0.1120744,0.1326551,0.01702023,0.1961927,0.3621931,0.5271592,0.6909413,0.8619609,1.013322
288,0.01138401,0.04793787,0.06112576,0.07751513,0.09524012,0.1040959,0.123106,0.01672411,0.1806335,0.3326788,0.4832177,0.6318603,0.7899604,0.9254498
289,0.01138115,0.04632235,0.0580349,0.07289505,0.0888896,0.0964756,0.1135936,0.01668787,0.1655402,0.3039231,0.4400949,0.5752892,0.7185402,0.8422575
290,0.01132822,0.04451656,0.05448484,0.06744385,0.08199596,0.08795738,0.1029854,0.01642323,0.1482067,0.2703505,0.3915439,0.5107908,0.6375585,0.7475576
291,0.01102257,0.04209566,0.05017567,0.061728,0.07429695,0.07803011,0.0913167,0.01624012,0.1293774,0.2336378,0.3365016,0.4383368,0.5468526,0.6404691
292,0.01111078,0.04050875,0.04649353,0.05604696,0.06660795,0.06864834,0.0799427,0.01612663,0.1107278,0.1982164,0.283093,0.3683357,0.4596844,0.5370507
293,0.01121235,0.03860044,0.04305649,0.05133057,0.06021452,0.06034565,0.07003641,0.01597214,0.09459972,0.166862,0.2361784,0.3060851,0.3821063,0.4450378
294,0.0113225,0.0371294,0.04050398,0.04700565,0.0549674,0.05353308,0.06192541,0.01594687,0.08133936,0.1408377,0.1974106,0.254437,0.3181524,0.3694935
295,0.01125765,0.03552532,0.03780174,0.04336023,0.05034733,0.04770279,0.05497265,0.01568985,0.07035494,0.1196795,0.1662254,0.2133918,0.267252,0.3093386
296,0.01122999,0.03474236,0.03589916,0.04051256,0.04656601,0.04301548,0.0491991,0.01530838,0.06108618,0.1025634,0.1405129,0.1798892,0.2256951,0.2597666
297,0.01089239,0.03375053,0.03428555,0.03835487,0.04337549,0.03927088,0.04506159,0.01515102,0.05391312,0.08876181,0.1193352,0.1523232,0.1914005,0.2188148
298,0.01109028,0.03298855,0.03289938,0.03633738,0.04097366,0.03620434,0.04111481,0.01508188,0.04753351,0.0770402,0.1023035,0.1299853,0.1630955,0.1854167
