Wavelength (nm),h2o,nir0.5,nir1,nir1.5,nir2,nir2.5,nir3,nir3.5,nir4,prot1,prot2,prot3,prot4,prot6,prot8,prot10,prot12,prot14,prot16,prot20,prot24,prot28,prot32,prot36,prot42,prot48,prot54,prot60
385,9.08E-05,-0.001117559,-0.001087711,-0.000419564,2.56E-05,0.001170976,0.000779167,0.000179479,0.001029436,0.002130923,0.00308296,0.003383108,0.003584922,0.004058566,0.004216989,0.004721075,0.006959486,0.008018623,0.007603573,0.007882083,0.008738522,0.010202925,0.010711889,0.011763019,0.011844121,0.013122054,0.013813082,0.014451311
385.333313,-0.000547919,-0.001369381,-0.001569887,-0.001748593,-0.001957892,-0.000324437,0.000156457,-0.000628005,0.000812673,0.001585507,0.001806659,0.000993837,0.002628452,0.003000221,0.003023002,0.004162258,0.00622349,0.007423581,0.006433276,0.007498081,0.008854276,0.009018713,0.010287578,0.010211246,0.011125593,0.011954531,0.012998729,0.013452318
385.6666565,-0.001419542,-0.00258678,-0.001421606,-0.001677738,-0.000470869,0.000130588,-7.41E-05,1.13E-05,0.000900859,0.00089964,0.001491363,0.001240232,0.002821631,0.0035464,0.002948275,0.003736018,0.005725971,0.007528449,0.006935734,0.00733564,0.009202222,0.009637675,0.009593398,0.010854842,0.011538601,0.011739588,0.012776684,0.013956686
386,-0.000208953,-0.001319834,-0.000438028,-0.000904084,0.00037183,-4.03E-05,0.000989271,0.001940418,0.002351051,0.002651084,0.002450562,0.002748241,0.003278271,0.00369944,0.003859587,0.005510418,0.007426741,0.00931482,0.007565693,0.008373054,0.010459586,0.010419467,0.011087564,0.011874421,0.012588301,0.013198579,0.013732522,0.014133176
386.333313,-0.000336387,-0.001467736,-0.000799296,-0.00058344,-0.000628264,0.000137321,0.000258497,-0.000442683,0.001690377,0.001468168,0.002454389,0.002041863,0.002826008,0.003865594,0.003465294,0.005210788,0.00702954,0.00793826,0.007152022,0.008153493,0.009724045,0.009527746,0.011070011,0.010411938,0.01235464,0.012742002,0.014141814,0.013773856
386.6666565,0.000973549,-0.001371239,-0.001260524,-0.001665154,-0.000587369,8.13E-05,0.000476149,0.000538503,0.001904095,0.00091427,0.002148613,0.002353524,0.003588707,0.003792158,0.003837544,0.00523966,0.006797878,0.007912451,0.007503138,0.007572726,0.01004135,0.010003574,0.010252936,0.011745919,0.011161049,0.012022096,0.01328937,0.014129565
387,-0.000502156,-0.001565296,-0.001302387,-0.001268422,-0.001016129,-4.63E-05,-0.000523461,0.001156337,0.001321935,0.000958268,0.001578051,0.002248337,0.002195441,0.003002671,0.004218871,0.004256407,0.006394079,0.008408444,0.006660353,0.007348462,0.009667716,0.009655011,0.011440336,0.011109048,0.011266345,0.012248681,0.01202002,0.013735193
387.333313,-0.000767203,-0.001926503,-0.001961809,-0.001400603,-0.000963338,4.39E-05,-7.24E-05,-5.16E-05,0.001425729,0.001164669,0.002166433,0.001795247,0.002714169,0.002703489,0.004094991,0.003424381,0.00639245,0.006840266,0.007167839,0.007317791,0.009044746,0.010010356,0.00967833,0.010484327,0.010818748,0.011934017,0.011277981,0.013815193
387.6666565,-0.000189703,-0.001775405,-0.000449045,-0.001077279,0.000125643,-0.000128841,-0.000468749,8.49E-05,0.001916523,0.00112771,0.001668861,0.001713922,0.003489796,0.003357516,0.002925914,0.003854807,0.006568756,0.008133051,0.007042247,0.007292308,0.009415807,0.009825551,0.011282418,0.010930942,0.011778287,0.012583824,0.012647302,0.013958771
388,-0.000162275,-0.002688976,-0.001599135,-0.001251335,-0.001123704,-0.000392151,-0.000322006,0.000355767,0.001597978,0.000173678,0.001308875,0.001624584,0.002066597,0.002919608,0.003101079,0.003754635,0.005622089,0.006056616,0.006477389,0.006627681,0.008404696,0.008875992,0.010415199,0.010419918,0.011081855,0.011141289,0.01233416,0.013227879
