,H2O,MEF_0.5,MEF_1,MEF_1.5,MEF_2,MEF_2.5,MEF_3,MEF_3.5,MEF_4,MEF_4_prot_0.5,MEF_4_prot_1,MEF_4_prot_2,MEF_4_prot_3,MEF_4_prot_4,MEF_4_prot_5,MEF_4_prot_6,MEF_4_prot_8,MEF_4_prot_10,MEF_4_prot_12,MEF_4_prot_14,MEF_4_prot_16,MEF_4_prot_20,MEF_4_prot_24,MEF_4_prot_28,MEF_4_prot_32,MEF_4_prot_36,MEF_4_prot_40,MEF_4_prot_44,MEF_4_prot_48,MEF_4_prot_52,MEF_4_prot_56,MEF_4_prot_56
217,0.005570412,0.04130554,0.09324169,0.1317658,0.1741939,0.2150445,0.2563081,0.2954788,0.3464422,0.39573,0.4354076,0.5929193,0.7468185,0.8757634,1.023467,1.170067,1.52836,1.85814,2.137459,2.364275,2.538965,2.703585,2.791261,2.839681,2.889299,2.91722,2.917688,3.012052,3.167224,3.01038,3.468175,3.404504
218,0.005686283,0.03603745,0.08159733,0.1143527,0.1513042,0.186913,0.2227416,0.2566714,0.3006825,0.3474846,0.385458,0.5370984,0.6855321,0.8093481,0.9510107,1.09262,1.439173,1.767129,2.040042,2.294751,2.469588,2.685947,2.786959,2.871962,2.827683,2.955584,2.873627,3.006081,3.039498,3.131574,3.074947,3.205649
219,0.005619526,0.0313797,0.07080221,0.09850502,0.1303978,0.1614766,0.1923385,0.2215476,0.2595239,0.3040457,0.3404965,0.4852901,0.627593,0.7467904,0.8828931,1.018906,1.352742,1.677828,1.955355,2.225852,2.413722,2.705116,2.792763,2.919615,2.910159,2.911738,2.963154,3.03358,3.091813,3.178463,3.166327,3.350681
220,0.005562305,0.02721643,0.06119156,0.08439827,0.111928,0.1385746,0.1653004,0.1903591,0.2226701,0.2646708,0.2994676,0.4364924,0.5718474,0.6850171,0.8139405,0.9446087,1.261508,1.577183,1.848389,2.1153,2.317969,2.663937,2.745009,2.912142,2.90831,2.901482,2.9738,3.069381,3.065977,3.139523,3.21248,3.290276
221,0.00564003,0.02344751,0.05299568,0.07237291,0.09609795,0.1191115,0.1421146,0.1635604,0.1913815,0.2309451,0.2638869,0.3934865,0.521462,0.6288099,0.7511821,0.8750515,1.177907,1.479034,1.74267,2.002291,2.225473,2.609413,2.731187,2.883173,2.92217,2.856461,2.887692,3.061869,2.972516,3.051234,3.16466,3.189015
222,0.005655289,0.02039528,0.04603767,0.06216717,0.08257961,0.102704,0.122539,0.1411848,0.1649952,0.2021723,0.2332444,0.3558178,0.4769421,0.5789838,0.6948366,0.8125811,1.099923,1.3866,1.643081,1.896514,2.125989,2.539591,2.728104,2.910094,2.992332,3.020899,2.904909,3.085379,3.081072,3.138577,3.10644,3.379333
223,0.005441189,0.01751137,0.04018259,0.05366611,0.07170105,0.08930588,0.1066604,0.1228933,0.1435494,0.1784549,0.2080951,0.3240075,0.4388041,0.535336,0.6453114,0.7570386,1.030772,1.302349,1.549895,1.791187,2.018021,2.428521,2.664287,2.850252,2.925698,2.900085,2.934054,2.941708,3.040122,3.094587,3.160287,3.198064
224,0.005325317,0.01522446,0.03520679,0.04645395,0.06236076,0.07811117,0.09322071,0.107594,0.125742,0.1584392,0.1864905,0.2957344,0.4040575,0.4955549,0.5992274,0.7044964,0.9645023,1.221023,1.456557,1.695356,1.90487,2.315244,2.582455,2.756754,2.85759,2.88848,2.96812,2.889126,3.038857,3.101656,3.058708,3.141665
225,0.005248547,0.01307106,0.03125191,0.04048586,0.05465746,0.06888151,0.08229542,0.0948844,0.111043,0.1417165,0.1680622,0.2709355,0.3729687,0.4589677,0.55686,0.6563053,0.9015174,1.143566,1.368492,1.593467,1.800964,2.221135,2.52504,2.720711,2.856436,2.938278,2.935956,2.954004,3.078179,3.166367,3.142732,3.195214
226,0.005213737,0.01147175,0.02745199,0.03530931,0.04795837,0.06070137,0.07251596,0.08400822,0.09832573,0.1267834,0.1513691,0.2473912,0.3430467,0.4232373,0.514545,0.6076722,0.8360181,1.062375,1.271701,1.482581,1.681268,2.093356,2.407538,2.669166,2.824409,2.867911,2.915212,2.902347,2.98244,3.060308,3.194201,3.137733
