Wavelength (nm),H2O,prot_5uM,vel_1-2,vel_2-2,vel_3-2,vel_4-2,vel_5-2,vel_6-2,vel_7-2,vel_8-2,vel_9-2,vel_10-2,vel_12-2,vel_14-2,vel_16-2,vel_18-2,vel_20-2,vel_24-2,vel_28-2,vel_32-2,vel_40-2
414,-0.000297018,8.23E-06,0.000526892,0.000551773,0.000719086,0.001129085,0.001689312,0.002274462,0.003322743,0.003188506,0.004308274,0.004695562,0.005536452,0.005799211,0.00657375,0.007107156,0.007521021,0.009346161,0.013069043,0.013755072,0.010089646
415,-0.000371201,0.000452826,0.000516214,0.000668035,0.000812103,0.001097994,0.002082151,0.002121715,0.003937396,0.00337742,0.004246082,0.005416652,0.005301942,0.005787773,0.006176382,0.007739209,0.007886644,0.009370575,0.013643748,0.013694023,0.009795896
416,0.00033556,0.000938214,0.000548533,0.000508076,0.000711204,0.001646436,0.001790855,0.00187677,0.002920207,0.004027108,0.004523362,0.005109831,0.005511677,0.004605372,0.00654655,0.007496738,0.007361731,0.009257936,0.013625558,0.014190087,0.010167335
417,-0.000533131,0.000250571,0.000272691,0.000461144,0.000886567,0.000545086,0.001412926,0.00216404,0.003564251,0.003120529,0.003851255,0.004413334,0.005135448,0.006089166,0.005891957,0.007012072,0.007895132,0.008849573,0.01304845,0.013919692,0.010248482
418,-0.000355735,0.000233062,-6.86E-05,0.000266811,0.000961096,0.000922364,0.001213805,0.00174958,0.003284557,0.003069039,0.003970964,0.005111953,0.00482859,0.005752176,0.005814112,0.00682483,0.007236347,0.008687629,0.013363174,0.013480915,0.010140227
419,-0.000466525,0.000618131,0.000544801,0.000482912,0.000931755,0.001045575,0.001136093,0.001643863,0.003455692,0.003388925,0.00405982,0.004906941,0.005475997,0.0054404,0.006002414,0.007230398,0.007876679,0.008824767,0.013558972,0.013900688,0.010170223
420,-0.00011409,0.000258367,8.79E-05,0.000460289,0.000939874,0.000791459,0.00154898,0.002130117,0.003294494,0.003720379,0.004234214,0.004879924,0.005665202,0.00586955,0.006163517,0.006994077,0.007196499,0.008891369,0.013611,0.013878156,0.009834209
421,0.000277612,0.000268598,0.000361907,0.000713485,0.001075702,0.00106745,0.00134437,0.001798938,0.003084472,0.003192886,0.004243468,0.004705741,0.005550741,0.005307969,0.0066802,0.007070083,0.007852245,0.009012343,0.013495174,0.013921563,0.010372698
422,-0.00025604,0.000115104,0.000236351,0.000573597,0.00057733,0.001230211,0.000893285,0.001813469,0.002750064,0.00335329,0.004273739,0.004661676,0.004704929,0.005689435,0.006310129,0.007238584,0.007366312,0.008395116,0.013299432,0.013658092,0.009697123
423,-0.000352424,-0.000126512,0.000542702,0.000409968,0.000936735,0.001105806,0.00187755,0.002049795,0.003317761,0.003168062,0.004019505,0.004724634,0.005811278,0.005631188,0.005865378,0.007198078,0.007434009,0.008764618,0.013364589,0.013658172,0.010449324
424,-0.000217698,0.000894349,0.000273701,0.001069293,0.001317443,0.001326246,0.001296802,0.002158784,0.003360776,0.003301276,0.004372593,0.005043203,0.005124971,0.006071736,0.006021443,0.007263195,0.007891468,0.008601966,0.013550399,0.013981574,0.009821421
425,0.000336,0.000448836,0.000738377,0.000445104,0.001530483,0.001204175,0.001992971,0.00228344,0.003854886,0.003945416,0.003941576,0.005494426,0.005507404,0.006111428,0.006128571,0.007591771,0.00765571,0.008875808,0.013416113,0.014390673,0.009897605
426,-0.000467559,0.00011904,0.000298568,0.000555843,0.000352606,0.001388592,0.001260663,0.00161458,0.002771009,0.003728682,0.004323595,0.004972579,0.00507573,0.006042257,0.005748425,0.006801322,0.007011072,0.008798482,0.013090252,0.013611107,0.009932271
427,-0.000504587,9.71E-05,-0.000442528,0.000369395,0.000447773,0.000536196,0.001237791,0.001530847,0.00288018,0.00277945,0.003545512,0.004377901,0.004540574,0.005068214,0.005200807,0.006729228,0.007497081,0.008380099,0.012456683,0.013540224,0.009521554
428,0.000298594,0.000786869,0.000182275,0.001242438,0.001399318,0.001526275,0.00204579,0.002489665,0.003330647,0.003592257,0.004503326,0.004939248,0.005671103,0.005885844,0.006096805,0.007235794,0.007600201,0.008856865,0.013533575,0.013912395,0.01033675
429,-0.000477385,0.000268676,0.000255932,0.000566366,0.001110373,0.001323493,0.001607851,0.001921411,0.003153721,0.003377238,0.004290392,0.004800427,0.005362478,0.005474661,0.005732949,0.007082134,0.007236689,0.008781866,0.013173468,0.013891573,0.009792508
