Wavelength (nm),H2O,prot2uM,mef_1,mef_1-2,mef_2,mef_2-2,mef_3,mef_3-2,mef_4,mef_4-2,mef_5,mef_5-2,mef_6,mef_6-2,mef_7,mef_7-2,mef_8,mef_8-2,mef_9,mef_9-2,mef_10,mef_10-2,mef_12,mef_12-2,mef_14,mef_14-2,mef_16,mef_16,mef_18,mef_18-2,mef_20,mef_20-2,mef_24,mef_24,mef_28,mef_28-2,mef_32,mef_32-2,mef_40,mef_40-2
269,-0.001617549,0.022473915,0.025913415,0.025397832,0.029468212,0.030328672,0.033456586,0.033590615,0.037050046,0.037334587,0.041641697,0.041667737,0.04553356,0.045703549,0.050932705,0.050170977,0.055314556,0.055049136,0.061844517,0.060275462,0.065347731,0.06501098,0.075533524,0.075150378,0.083792277,0.085862979,0.093914643,0.093914643,0.104033917,0.104348056,0.112884373,0.113222182,0.13175194,0.13175194,0.150303349,0.149392769,0.167644292,0.16857034,0.203421742,0.20347485
270,-0.0012026,0.023084003,0.026686331,0.026858654,0.03021954,0.031020267,0.034443624,0.035201088,0.038583223,0.038137052,0.043158464,0.042253058,0.047208443,0.046996012,0.052053548,0.05230695,0.05697722,0.056411698,0.063547641,0.061495081,0.067932069,0.067240343,0.077069722,0.076550581,0.086113863,0.086386308,0.096976794,0.096976794,0.107116446,0.105896339,0.115787536,0.116010778,0.134309456,0.134309456,0.152884558,0.153425172,0.171752498,0.172749206,0.207927704,0.208382949
271,-0.001638902,0.024122335,0.027754212,0.028056061,0.031949837,0.031230783,0.035536982,0.035769992,0.040107753,0.039461698,0.044065472,0.044476312,0.048885439,0.048263635,0.053055156,0.053140923,0.058486786,0.058649089,0.064837083,0.063985765,0.068884432,0.068144612,0.078599371,0.079320818,0.088846363,0.089010477,0.099378899,0.099378899,0.109359786,0.109629184,0.118687376,0.118852541,0.138194889,0.138194889,0.156863406,0.156818792,0.17559123,0.176747248,0.212898165,0.214700669
272,0.000284295,0.026304541,0.030187462,0.029992038,0.034482073,0.034189504,0.038167745,0.0380794,0.042394537,0.042588856,0.046417579,0.045725577,0.051816564,0.050454888,0.056471925,0.056105547,0.062342599,0.061524726,0.067978717,0.067205042,0.072618678,0.071773328,0.081764683,0.082011364,0.092300579,0.092027985,0.10276372,0.10276372,0.114395216,0.113028072,0.123303928,0.123080619,0.14328149,0.14328149,0.162311733,0.161911577,0.181925237,0.181739256,0.219764829,0.218916535
273,-0.002089915,0.025214812,0.029865688,0.028811475,0.033754505,0.033183429,0.037895449,0.037240606,0.042324562,0.042692285,0.046601169,0.046539992,0.051681865,0.051604345,0.056789692,0.056155592,0.061575644,0.061890543,0.067483775,0.067187279,0.072178267,0.072147399,0.08317785,0.082683831,0.092872947,0.093013421,0.103633143,0.103633143,0.115307204,0.113623202,0.124025919,0.124403261,0.144581333,0.144581333,0.164487869,0.163742006,0.18402113,0.184773415,0.222786039,0.223413989
274,-0.001510973,0.026051622,0.029226374,0.030150529,0.034701116,0.035507765,0.039161906,0.038716268,0.043822985,0.042853765,0.048249315,0.047732424,0.052513529,0.05288706,0.057707679,0.057540998,0.064869665,0.06381762,0.069821164,0.069155537,0.075286895,0.074848019,0.085402548,0.085255601,0.096254937,0.095587403,0.106463343,0.106463343,0.11813654,0.116435155,0.127074704,0.127880901,0.146426275,0.146426275,0.16773878,0.16666466,0.187168151,0.188103169,0.227248803,0.228864059
275,-0.001027079,0.026451292,0.030104999,0.029842563,0.034431431,0.034778256,0.040358286,0.039462436,0.043787252,0.043769158,0.049501054,0.049039703,0.054159999,0.054546896,0.058851264,0.059061125,0.064741254,0.064628795,0.071076043,0.069709249,0.075611465,0.076518498,0.086938977,0.087334983,0.096812718,0.097140677,0.108587682,0.108587682,0.119972833,0.119198576,0.129149929,0.128442884,0.149639741,0.149639741,0.170130089,0.170233935,0.1904082,0.191380397,0.230279774,0.230835006
276,-0.002198255,0.027791742,0.031625252,0.031809658,0.036401905,0.035736125,0.039815996,0.040002409,0.045559518,0.045142915,0.050240222,0.0496605,0.055139501,0.055526685,0.060745787,0.060540464,0.06500566,0.066027015,0.07231617,0.071208104,0.076606251,0.0768511,0.087440908,0.089034818,0.098856032,0.098406948,0.10957671,0.10957671,0.121671788,0.121201739,0.130950525,0.13019304,0.151582569,0.151582569,0.172434211,0.172356084,0.193356767,0.194222793,0.233327985,0.232586697
277,-0.001342956,0.027655959,0.031821106,0.031841438,0.036728363,0.036316592,0.042089634,0.040543482,0.045579501,0.046823412,0.051462136,0.050834801,0.055156812,0.056477968,0.061388414,0.061262552,0.065912388,0.067342289,0.07239788,0.073177956,0.078176253,0.07780569,0.088088356,0.089015976,0.100167029,0.099635631,0.11103496,0.11103496,0.122159898,0.122575611,0.132135063,0.132282227,0.153137729,0.153137729,0.174601689,0.174167693,0.194071725,0.194785163,0.235347599,0.235919774
278,-0.002143547,0.027670555,0.032522198,0.032001775,0.036317155,0.03676907,0.041436467,0.041407082,0.046206165,0.045623951,0.050861429,0.050690312,0.055371333,0.0555223,0.061158236,0.061676208,0.06647145,0.066282526,0.072682627,0.073054783,0.078574769,0.077587694,0.089537263,0.089787222,0.100125723,0.100103982,0.111989319,0.111989319,0.123617008,0.121506736,0.13190034,0.132650971,0.153564647,0.153564647,0.174172416,0.175368458,0.196770728,0.196523204,0.236061603,0.237439796
