Wavelength (nm),H2O_2ml,vel_2,vel_4,vel_6,vel_8,vel_12,vel_16,vel_20,vel_28,vel_36
237,-0.00325073,0.023795344,0.051658191,0.078745037,0.106879816,0.159721285,0.215211764,0.270016253,0.373593539,0.478589356
238,-0.001908669,0.019284774,0.040950403,0.061738867,0.083090171,0.125680193,0.168089077,0.210633203,0.292821795,0.375094146
239,-0.001874957,0.015024579,0.031878266,0.048423149,0.06497021,0.098885581,0.133985728,0.166885316,0.232370094,0.298165441
240,-0.001086678,0.013287608,0.026539311,0.040168568,0.053525683,0.081173643,0.109952331,0.137286305,0.190804184,0.245277926
241,-0.001166046,0.009981801,0.022241851,0.034047537,0.045690492,0.068321772,0.093202889,0.11647848,0.162560269,0.207163006
242,-0.001439718,0.009459881,0.019519756,0.029878583,0.041049972,0.06013184,0.081446096,0.102677345,0.142203867,0.181686476
243,-0.00058039,0.008937821,0.018324103,0.02755351,0.037010074,0.055196758,0.075497024,0.093376234,0.128377169,0.165238649
244,-0.001491058,0.007187603,0.016730512,0.025113868,0.033945862,0.050861485,0.069910765,0.08662568,0.119357735,0.153653175
245,-0.002324695,0.006845236,0.015404247,0.023647986,0.031872194,0.048330233,0.066089369,0.08165364,0.114770047,0.145169228
246,-0.001032192,0.005996849,0.015678119,0.023786321,0.032386769,0.047767069,0.065219179,0.081003979,0.111664414,0.142335847
247,-0.001118024,0.00668459,0.015975848,0.023582032,0.031179242,0.048185825,0.06471739,0.080580324,0.111560784,0.141927704
248,-0.001240649,0.007600359,0.015515674,0.024120174,0.03126711,0.04857884,0.065629579,0.081574455,0.112154804,0.143400863
249,-0.000477954,0.007794023,0.01604721,0.024733376,0.03318122,0.050022438,0.067635477,0.08431337,0.115921892,0.146616608
250,-0.001280192,0.006815942,0.016453395,0.024859639,0.033944689,0.051589653,0.069667302,0.086100578,0.119482189,0.150918543
251,-0.000989011,0.00754499,0.016580017,0.026530229,0.035316337,0.05431838,0.072424732,0.089244969,0.123951674,0.157685027
252,-0.000875461,0.008678307,0.017861759,0.027287899,0.037046295,0.05481521,0.075329594,0.092919245,0.128647804,0.163961113
253,-0.000580596,0.00852828,0.018352699,0.028449453,0.038564749,0.05849481,0.078844197,0.097168006,0.134061739,0.170654148
254,-0.002282158,0.009154871,0.019159226,0.029629311,0.03993012,0.060939465,0.08200217,0.100880109,0.139846191,0.177963331
255,-0.00080529,0.009978993,0.021042848,0.032022368,0.042894796,0.063995965,0.085957058,0.107302159,0.147838309,0.186679959
256,-0.000929243,0.010011442,0.022072086,0.032981653,0.044175133,0.066696376,0.090404741,0.111790098,0.154292852,0.195270211
257,-0.00083521,0.012049933,0.023589002,0.035186857,0.046666361,0.070211902,0.094566576,0.117698923,0.161901847,0.204831243
258,-0.000806324,0.011484562,0.023803931,0.035598874,0.048321728,0.073058061,0.098445974,0.122319467,0.168435231,0.21374023
259,-0.001406847,0.011433266,0.024227975,0.036792312,0.050115395,0.076070733,0.102755919,0.12695156,0.175819218,0.222836584
260,-0.001780252,0.012213881,0.024984926,0.038774088,0.052319974,0.079969577,0.106560662,0.132362977,0.182447672,0.23194094
261,-0.000437046,0.012973311,0.027609505,0.041175779,0.055930849,0.082971111,0.112055689,0.139348254,0.19073683,0.242051914
