Wavelength (nm),H2O,prot_20uM,vel_1-1,vel_1-2,vel_1-3,vel_2-1,vel_2-2,vel_2-3,vel_3-1,vel_3-2,vel_3-3,vel_4-1,vel_4-2,vel_4-3,vel_5-1,vel_5-2,vel_5-3,vel_6-1,vel_6-2,vel_6-3,vel_7-1,vel_7-2,vel_7-3,vel_8-1,vel_8-2,vel_8-3,vel_9-1,vel_9-2,vel_9-3,vel_10-1,vel_10-2,vel_10-3,vel_12-1,vel_12-2,vel_12-3,vel_14-1,vel_14-2,vel_14-3,vel_16-1,vel_16-2,vel_16-3,vel_18-1,vel_18-2,vel_18-3,vel_20-1,vel_20-2,vel_20-3,vel_24-1,vel_24-2,vel_24-3,vel_28-1,vel_28-2,vel_28-3,vel_32-1,vel_32-2,vel_32-3,vel_36-1,vel_36-2,vel_36-3,vel_40-1,vel_40-2,vel_40-3
365,0.001416666,0.001267984,0.001986547,0.003439149,0.002501511,0.002722947,0.00464459,0.003350342,0.00469755,0.003559788,0.0045016,0.004964462,0.004867829,0.00521409,0.005798922,0.008451095,0.007786829,0.004918643,0.006325651,0.004798961,0.004725812,0.005804012,0.005934153,0.005119994,0.007024541,0.006431305,0.005571533,0.006870035,0.006753968,0.007313763,0.006751944,0.006448303,0.007016622,0.008619314,0.008134924,0.00925233,0.00834545,0.009482183,0.009834606,0.009478109,0.008676168,0.009371712,0.009115586,0.009869798,0.00871219,0.009442182,0.009316698,0.010534238,0.008835148,0.010544873,0.010523736,0.011430343,0.010462954,0.010096005,0.01042957,0.00962071,0.011215686,0.012891519,0.012176769,0.011477944,0.012749333,0.012638453
366,-0.002351575,0.000280695,0.000277819,0.000632518,0.000450883,0.002541425,0.000188594,0.001833927,0.001824985,0.001680217,0.003400587,0.002698097,0.002760094,0.003085802,0.006006508,0.006906881,0.004319987,0.003854259,0.003757638,0.002680724,0.004851207,0.003525548,0.003979245,0.003593483,0.004492001,0.003332682,0.004358291,0.003333699,0.003431243,0.006222623,0.004195163,0.004136594,0.00604588,0.005137832,0.005599013,0.008234106,0.00637992,0.005795171,0.007489364,0.007061453,0.00534712,0.006602239,0.006152804,0.006785335,0.007025067,0.007195998,0.007049061,0.007583579,0.008859744,0.007757365,0.008240808,0.007323293,0.007386797,0.00811741,0.007676813,0.00750938,0.010680369,0.009142974,0.009055081,0.011545514,0.010034489,0.009430542
367,0.001040619,0.001026296,3.61E-05,0.001208406,0.002433876,0.002465557,0.002429164,0.001955603,0.002236784,0.002724848,0.00295599,0.004030138,0.002928885,0.002777314,0.006310181,0.006005537,0.00582214,0.004961713,0.004658746,0.00452038,0.004774646,0.004783545,0.003984313,0.003680435,0.005741264,0.00586606,0.005369737,0.003500052,0.004998135,0.006771952,0.005136234,0.005445878,0.006689926,0.005667405,0.005648549,0.007296441,0.006389403,0.006121037,0.008174172,0.006085019,0.007577837,0.008673051,0.00705185,0.007012203,0.007846604,0.007942769,0.006619454,0.00836073,0.009045512,0.009255503,0.008912428,0.0101994,0.009692333,0.00893103,0.009149399,0.009028227,0.011335582,0.01025283,0.010312468,0.010352365,0.009824571,0.010759199
368,0.000456687,0.002264964,0.003300285,0.002427654,0.001717509,0.003811534,0.002845315,0.00235545,0.004661362,0.003138285,0.002567073,0.003536221,0.00284482,0.00249521,0.006187095,0.006469244,0.006314357,0.00560979,0.004767685,0.005315149,0.004879478,0.005195646,0.005255276,0.005225407,0.006483485,0.006329407,0.006282735,0.006123399,0.006228164,0.007646304,0.00753585,0.005349898,0.00747193,0.005734392,0.005248725,0.008273733,0.006065856,0.006818519,0.008153835,0.007191051,0.00744923,0.008212975,0.007990331,0.007556184,0.007796606,0.008344263,0.008912824,0.010754608,0.008997253,0.008948364,0.009874671,0.008470918,0.007720842,0.0108468,0.009710279,0.009656732,0.010345154,0.009879835,0.010099423,0.011897008,0.010523762,0.011121822
369,-0.001007865,0.001212507,0.0016184,0.002165809,0.001269905,0.003020369,0.001719692,0.002224841,0.002393347,0.001547967,0.003388378,0.00364796,0.002999517,0.002508566,0.00611954,0.005620909,0.005601084,0.00515567,0.002225752,0.003727611,0.004947155,0.004380228,0.004945113,0.002767857,0.005315752,0.004182435,0.005888651,0.003866377,0.006420428,0.005498176,0.00594053,0.005231355,0.00810359,0.006829274,0.007363759,0.008639779,0.008439271,0.008450329,0.008567167,0.007544173,0.00757241,0.007523339,0.00672121,0.008543222,0.006533963,0.007369077,0.007627098,0.009894082,0.009788748,0.009286523,0.010028793,0.007911766,0.007236847,0.010342741,0.00967751,0.008363316,0.010834963,0.010937393,0.010158722,0.010993834,0.010170541,0.010766761
370,-0.000824462,0.000496077,0.000833058,0.001070097,0.001372778,0.001899909,0.002844143,0.001803617,0.002400088,0.004293503,0.002923725,0.004524461,0.004224307,0.003980082,0.006332086,0.00578793,0.006954383,0.004219237,0.003874526,0.00427157,0.006480358,0.005482263,0.004604953,0.005296832,0.005541722,0.004821837,0.006455765,0.00479069,0.004789251,0.004825816,0.005127931,0.00560861,0.005782998,0.004738792,0.005748477,0.005443519,0.006561056,0.007343776,0.007112577,0.007081581,0.006805477,0.008468463,0.00709671,0.007577336,0.008279722,0.00691756,0.007213159,0.007939447,0.009030607,0.008129806,0.008464768,0.008500641,0.009176021,0.009167218,0.008547763,0.008334314,0.010893727,0.011330294,0.011598391,0.011109154,0.010738342,0.011772675
371,0.000499757,0.00107674,0.00249409,0.002549575,0.003049487,0.003503914,0.003065285,0.001112501,0.004464513,0.003136851,0.003972819,0.0047764,0.004502385,0.003378855,0.007006994,0.007775338,0.006699942,0.005418015,0.004053863,0.003917962,0.006249093,0.005559813,0.005892193,0.00391313,0.006111034,0.00522711,0.006753048,0.006739797,0.005900748,0.007389377,0.006054857,0.007764533,0.007744347,0.007149075,0.006437794,0.008124374,0.00774274,0.007591086,0.008903101,0.008773863,0.007770357,0.009835957,0.007737364,0.007527764,0.00839348,0.00859592,0.008386855,0.010837883,0.009700829,0.008293891,0.008192452,0.007833004,0.008071943,0.010336459,0.008853404,0.009985906,0.010778039,0.01094926,0.010677876,0.011878013,0.010568266,0.011687651
372,0.000387686,0.000847349,0.000911988,0.001244074,0.002344623,0.00268958,0.00266395,0.00246803,0.002983721,0.003098133,0.003767377,0.003902395,0.00374299,0.004211526,0.006492629,0.006745344,0.006230107,0.005436573,0.004865238,0.005152239,0.005228368,0.004945034,0.005393954,0.004130008,0.005500482,0.004701946,0.005418015,0.004402429,0.005997689,0.006548521,0.005663996,0.006105863,0.008441119,0.007698682,0.006483721,0.007428637,0.007198262,0.00757947,0.007354886,0.007840858,0.00780251,0.008380416,0.007641087,0.007911608,0.00747696,0.008194985,0.008279168,0.008073183,0.008014774,0.008517034,0.009780381,0.008267533,0.008936209,0.009470411,0.010381023,0.009424246,0.011699645,0.010993223,0.009579373,0.011264778,0.009483771,0.012270276
373,-1.18E-05,0.002253203,0.00235964,0.001678398,0.002463552,0.003509864,0.003612642,0.003611467,0.003515683,0.003653572,0.004010334,0.004222739,0.003301641,0.004711524,0.006173389,0.006304114,0.005939191,0.004510415,0.005080628,0.005309751,0.006369123,0.005063526,0.005505516,0.006145663,0.006128598,0.004816629,0.005581812,0.005152527,0.006010445,0.007031434,0.006633043,0.006066144,0.007981657,0.007651784,0.007390562,0.007766536,0.007980602,0.007944772,0.007620117,0.008679812,0.008605188,0.008948919,0.007532821,0.008030647,0.008868885,0.0087484,0.008869757,0.009233317,0.008229173,0.009132029,0.009547777,0.011224691,0.009081354,0.010926801,0.009786418,0.00950007,0.010929987,0.010469795,0.011084085,0.011513987,0.012348115,0.011117758
374,-0.001502357,0.000846441,0.000821076,0.001541056,0.001506585,0.001647059,0.001980592,0.001535159,0.002788699,0.002453556,0.001488272,0.003703591,0.002629702,0.003687979,0.006775396,0.005789661,0.006139152,0.003716411,0.003822163,0.003587115,0.004648725,0.004995281,0.004206351,0.003468556,0.004594698,0.003968665,0.00437628,0.004141559,0.005517523,0.005347304,0.006104681,0.004748868,0.006103447,0.00500586,0.005501216,0.006268947,0.006048951,0.006514359,0.007253403,0.007585028,0.00632791,0.008262784,0.00787233,0.005776676,0.007883955,0.007786486,0.007289018,0.009168725,0.008769109,0.008524399,0.00914998,0.007769461,0.008659795,0.008575802,0.009342935,0.008741296,0.010201096,0.009866435,0.009755231,0.010220124,0.010109358,0.009499038
