Wavelength (nm),H2O,prot_5uM,mef_1-1,mef_1-2,mef_1-3,mef_2-1,mef_2-2,mef_2-3,mef_3-1,mef_3-2,mef_3-3,mef_4-1,mef_4-2,mef_4-3,mef_5-1,mef_5-2,mef_5-3,mef_6-1,mef_6-2,mef_6-3,mef_7-1,mef_7-2,mef_7-3,mef_8-1,mef_8-2,mef_8-3,mef_9-1,mef_9-2,mef_9-3,mef_10-1,mef_10-2,mef_10-3,mef_12,mef_12-2,mef_12-3,mef_14,mef_14-2,mef_14-3,mef_16-1,mef_16-2,mef_16-3,mef_18-1,mef_18-2,mef_18-3,mef_20-1,mef_20-2,mef_20-3,mef_24-1,mef_24-2,mef_24-3,mef_28-1,mef_28-2,mef_28-3,mef_32,mef_32-2,mef_32-3,mef_36-1,mef_36-2,mef_36-3,mef_40,mef_40-2,mef_40-3
261,-0.001068035,0.039715007,0.048418954,0.046476606,0.047194708,0.053998511,0.05395985,0.05454132,0.06180279,0.060775917,0.061195459,0.069589876,0.068866566,0.068795107,0.076599769,0.075344376,0.076863989,0.084709689,0.084556565,0.084842637,0.092281722,0.093049817,0.09141244,0.099539585,0.100572124,0.100496523,0.10965994,0.109675631,0.109513484,0.118863232,0.118137084,0.119071849,0.137258574,0.136316046,0.137283891,0.157380253,0.157067359,0.156829685,0.176140949,0.176552668,0.175704598,0.194811672,0.195551738,0.194190562,0.217388526,0.216021508,0.216139868,0.254903227,0.254700273,0.254208922,0.294812828,0.295308113,0.295200646,0.332845569,0.33248803,0.332511067,0.372784138,0.376015395,0.370792538,0.408626914,0.408792675,0.40890801
262,-0.001511592,0.040856544,0.050237577,0.04914619,0.049156018,0.056064427,0.056707509,0.056227863,0.064759493,0.064459585,0.064764686,0.07248795,0.072442681,0.072113805,0.0803703,0.080019996,0.079682626,0.08852876,0.08883588,0.088892423,0.096982718,0.09599968,0.096429184,0.104429305,0.105117798,0.104493603,0.115520634,0.113826558,0.113600165,0.124064565,0.123833053,0.12358553,0.142475471,0.141815409,0.142947763,0.164236918,0.163130134,0.162410274,0.18156904,0.183704898,0.182103634,0.201840639,0.20285371,0.202596009,0.225181714,0.22308071,0.223238662,0.264246553,0.263781875,0.264343172,0.306312501,0.306241453,0.305047333,0.345067173,0.344273508,0.344835103,0.385401785,0.388920814,0.384860069,0.423334956,0.423437983,0.422183603
263,-0.001471245,0.042730358,0.051928986,0.051986374,0.051779788,0.059463043,0.058852952,0.059948236,0.067072347,0.06719365,0.067242153,0.075584635,0.074547857,0.074947365,0.083372548,0.083613805,0.083593845,0.092719324,0.092140019,0.091986522,0.100045182,0.099387132,0.100346178,0.109036207,0.108885802,0.108436965,0.119744785,0.117880188,0.117257699,0.129205927,0.127662972,0.128783718,0.148907542,0.146911711,0.147848204,0.16927731,0.168806866,0.168311268,0.188344941,0.19029367,0.188832566,0.208600536,0.21040903,0.20871982,0.231315151,0.230682239,0.230470642,0.273110032,0.271696895,0.272743225,0.315632641,0.315263778,0.315253049,0.356456906,0.355872035,0.355638832,0.398084968,0.401325524,0.396383643,0.436755091,0.435929835,0.435391516
264,-0.002351523,0.045993906,0.055667318,0.053121176,0.053650822,0.060992397,0.062836111,0.062410079,0.071159743,0.069725752,0.069929257,0.078360908,0.078376941,0.077715904,0.087252982,0.086126238,0.086395092,0.095820732,0.096060067,0.09607327,0.104472466,0.103223212,0.104269721,0.112579398,0.112644181,0.112803444,0.124098294,0.122419,0.122211412,0.13293758,0.132445484,0.133371547,0.153770849,0.153109074,0.153321698,0.17464,0.174682096,0.173895553,0.194581419,0.19681479,0.194756046,0.2160528,0.215444028,0.215530381,0.240245014,0.238587901,0.237905324,0.280184627,0.280584246,0.2805565,0.324681044,0.325351685,0.324264079,0.367349684,0.365689039,0.366903633,0.408842474,0.413389295,0.408678711,0.449750155,0.449374318,0.44956243
265,-0.000808649,0.049866632,0.058599435,0.057845708,0.057995025,0.06549447,0.065612838,0.066327035,0.074915126,0.07452257,0.074161127,0.083029993,0.082374051,0.082790121,0.091527224,0.091046795,0.09110266,0.100971974,0.10038019,0.100535184,0.110180832,0.109991513,0.108712375,0.118934885,0.11789985,0.118098013,0.128188968,0.127401635,0.127708241,0.13874206,0.137546316,0.139324635,0.159385547,0.159494743,0.158303022,0.181957588,0.181572259,0.181029454,0.201929644,0.203491271,0.201818064,0.224187776,0.223851964,0.223762557,0.247260556,0.246178076,0.245931104,0.289530098,0.289674491,0.28951028,0.33567968,0.335920662,0.336122394,0.37846607,0.376327604,0.377871633,0.421501935,0.424238861,0.420056403,0.464795142,0.462165117,0.462640196
266,-0.001949233,0.050457299,0.060425911,0.059379105,0.05978984,0.068249799,0.067534067,0.066946782,0.077109419,0.077002771,0.076525353,0.086174093,0.085445307,0.085145235,0.094661944,0.093752265,0.093537092,0.104165115,0.103752978,0.104251623,0.112519689,0.111895159,0.111972295,0.121179946,0.121952675,0.121513486,0.132411987,0.132600665,0.131086722,0.143239945,0.142028749,0.142690465,0.163765222,0.163832247,0.163033366,0.186997935,0.186095089,0.185170949,0.207341015,0.207975954,0.20707722,0.229583025,0.229028329,0.229950681,0.253869563,0.252393216,0.252397656,0.297116369,0.296563387,0.295953572,0.345083058,0.342239469,0.344238579,0.388663828,0.387171179,0.387439698,0.431800157,0.434967727,0.429765403,0.474906534,0.472248197,0.47361365
267,-0.002326858,0.052654356,0.062762283,0.062171441,0.06207924,0.070656717,0.070240751,0.069431908,0.078838147,0.079197779,0.079122052,0.088855989,0.088473409,0.088058487,0.096753098,0.097583659,0.096081413,0.107012473,0.106618397,0.106367886,0.115240671,0.11557015,0.115543164,0.125231311,0.124857292,0.125065908,0.136220321,0.135001004,0.135052398,0.146381497,0.14631401,0.146490544,0.168743983,0.167564973,0.167851776,0.192062661,0.19014357,0.190879777,0.21285075,0.214341909,0.212178558,0.234447077,0.236422658,0.234731779,0.25937593,0.259258181,0.257568121,0.304244697,0.303872258,0.303863823,0.352080762,0.351179093,0.351612061,0.396742642,0.395613879,0.396437854,0.44232747,0.44532004,0.440215319,0.485678047,0.484903783,0.484533846
268,-0.00164896,0.055179384,0.06540367,0.064112604,0.064398304,0.073102385,0.074265696,0.074076727,0.082050197,0.082055144,0.0821696,0.092318349,0.090888739,0.090973884,0.100802302,0.100241073,0.100923538,0.110016562,0.110085428,0.109922625,0.119774357,0.119182974,0.119139239,0.128281996,0.129898369,0.12947841,0.140931279,0.139646262,0.139079064,0.150718004,0.149885982,0.151327625,0.172343388,0.173593119,0.172667131,0.195970282,0.19556424,0.195761129,0.218017861,0.220265925,0.218818724,0.241487309,0.241804436,0.240340218,0.266572684,0.265313417,0.265041381,0.312633753,0.311917573,0.311252087,0.360630065,0.36154002,0.360738725,0.40498355,0.404465765,0.405913055,0.452656865,0.456392914,0.451370269,0.498211682,0.49575609,0.496322274
269,-0.001249012,0.05870847,0.067460582,0.067059174,0.068093643,0.075925894,0.075982966,0.076226197,0.085635729,0.085192919,0.08457166,0.094928533,0.093995951,0.094217785,0.103797026,0.103437521,0.103659891,0.113680236,0.113409348,0.112917304,0.122323446,0.122517601,0.122018732,0.133125424,0.132814616,0.132378385,0.143807575,0.143037483,0.143505737,0.154272214,0.154133394,0.155038819,0.177005783,0.176969156,0.176742435,0.2010068,0.201857403,0.20021835,0.22378704,0.225982174,0.224012613,0.24638468,0.247584999,0.247022256,0.272964746,0.271318376,0.271844029,0.320975661,0.319847941,0.320240885,0.369784504,0.367422909,0.368368924,0.416479498,0.414617151,0.415877909,0.463429004,0.466785163,0.460468322,0.508716047,0.506957769,0.508766115
270,-0.001320969,0.05893949,0.068511985,0.068673171,0.068403184,0.077181302,0.077652626,0.07716763,0.087104402,0.086746186,0.087378509,0.096989125,0.09646441,0.095355876,0.105026238,0.105002135,0.105463013,0.11677777,0.116153315,0.116359353,0.125638396,0.124977499,0.124683544,0.135216147,0.134904623,0.135507599,0.147364378,0.146643817,0.145595938,0.157629281,0.156727389,0.158539236,0.181074843,0.180903748,0.180361494,0.205745429,0.2051934,0.205954209,0.228932768,0.229542002,0.228603125,0.252595812,0.253712237,0.25163126,0.279375613,0.276964843,0.277240723,0.326221317,0.327261329,0.326906025,0.377602458,0.377276003,0.376460791,0.425008595,0.42377311,0.424996465,0.473603904,0.476749688,0.471189082,0.520215631,0.518411875,0.518724144
271,-0.001614248,0.060606088,0.072828963,0.070969649,0.071007229,0.079814255,0.080330901,0.079875074,0.090086892,0.089430958,0.0896983,0.099505499,0.099708475,0.098874174,0.109077573,0.107984006,0.109293461,0.118667334,0.119943149,0.118754946,0.129392281,0.128683552,0.128033236,0.138980269,0.138978586,0.138782248,0.151925758,0.150512546,0.149679348,0.161970049,0.162131891,0.162832394,0.185503647,0.185752198,0.186004773,0.210249975,0.2098234,0.210451394,0.234424964,0.236172393,0.234968409,0.258710206,0.259348124,0.258386731,0.28589043,0.284695596,0.284636438,0.335370988,0.334686965,0.335644186,0.385936886,0.385099739,0.385873884,0.433696777,0.433034301,0.434152484,0.485431075,0.48801887,0.482885122,0.533912778,0.532642305,0.531790555
272,-0.001832892,0.062744789,0.074076079,0.073612325,0.073392309,0.082200289,0.08206521,0.082791343,0.093149573,0.092816852,0.092092976,0.102479368,0.101162337,0.101155996,0.111406393,0.111743219,0.111747779,0.122197352,0.122350104,0.122508608,0.13224861,0.132734597,0.131965429,0.142670333,0.142438993,0.142972827,0.155054689,0.15391627,0.153770119,0.165730193,0.165941566,0.166233063,0.189914584,0.190465346,0.190046802,0.216629893,0.215603173,0.214584097,0.239149049,0.241939023,0.240422353,0.264689595,0.265052229,0.264454722,0.293071479,0.292240143,0.289888829,0.342520446,0.341641396,0.341739953,0.39494431,0.393605739,0.393322736,0.443882436,0.443709612,0.4454135,0.496412844,0.498706311,0.493436158,0.5443573,0.543691039,0.542550981
