Wavelength (nm),H2O,prot_1uM,mef_1-1,mef_1-2,mef_1-3,mef_2-1,mef_2-2,mef_2-3,mef_3-1,mef_3-2,mef_3-3,mef_4-1,mef_4-2,mef_4-3,mef_5-1,mef_5-2,mef_5-3,mef_6-1,mef_6-2,mef_6-3,mef_7-1,mef_7-2,mef_7-3,mef_8-1,mef_8-2,mef_8-3,mef_9-1,mef_9-2,mef_9-3,mef_10-1,mef_10-2,mef_10-3,mef_12-1,mef_12-2,mef_12-3,mef_14-1,mef_14-2,mef_14-3,mef_16-1,mef_16-2,mef_16-3,mef_18-1,mef_18-2,mef_18-3,mef_20-1,mef_20-2,mef_20-3,mef_24-1,mef_24-2,mef_24-3,mef_28-1,mef_28-2,mef_28-3,mef_32,mef_32-2,mef_32-3,mef_36-1,mef_36-2,mef_36-3,mef_40-1,mef_40-2,mef_40-3
315,0.001345408,-0.000152856,0.004329582,0.002756812,0.003715001,0.005959766,0.007793127,0.006629258,0.009852109,0.008844263,0.010257017,0.012008736,0.013454694,0.013341819,0.016468504,0.017114123,0.017020833,0.018899428,0.018323077,0.019962566,0.022014186,0.024222145,0.023142235,0.025857886,0.027006913,0.026470769,0.031411041,0.030052843,0.029849134,0.032604169,0.034469657,0.033691391,0.039521545,0.039592344,0.040480848,0.048155602,0.047129985,0.045627199,0.053464521,0.054967251,0.053178489,0.061629847,0.061369095,0.061940067,0.069174506,0.067119658,0.067564517,0.081179544,0.08197166,0.080971323,0.093885079,0.094836287,0.094531849,0.106376886,0.108675942,0.107503139,0.122121386,0.122627996,0.122264199,0.135712266,0.135439277,0.135472015
316,0.001294154,0.001180709,0.003618097,0.002829421,0.004426984,0.005578901,0.006779919,0.006916508,0.010269846,0.010026938,0.009058702,0.013173789,0.013701985,0.011978799,0.016137067,0.016278351,0.016676171,0.018701777,0.019767057,0.019331889,0.023518631,0.022786217,0.022847438,0.025964169,0.025973458,0.027210476,0.032238893,0.031691857,0.030189265,0.03429367,0.035950232,0.035028372,0.041077916,0.040533647,0.041398395,0.047812555,0.049526498,0.048236098,0.055841438,0.055792868,0.054193459,0.063273549,0.06369599,0.062164422,0.070993237,0.067449853,0.0686564,0.083295994,0.082244866,0.081520855,0.094548069,0.098409511,0.096170038,0.109083824,0.109920159,0.108292513,0.125237629,0.124282524,0.123988383,0.138277844,0.137782484,0.138329104
317,0.000895127,0.000860032,0.003560806,0.004320092,0.004437445,0.006319978,0.007945141,0.006781549,0.010082413,0.010556065,0.010369119,0.014709854,0.015042105,0.013425031,0.018249316,0.01652747,0.018551327,0.021055292,0.020540554,0.02101019,0.025082082,0.026183192,0.024207475,0.028031044,0.028226882,0.027542477,0.033757638,0.031768132,0.030533744,0.03634122,0.036844045,0.036144614,0.043454934,0.042929254,0.04227186,0.049975358,0.050272103,0.049317192,0.056533366,0.057773702,0.056912411,0.065093033,0.066111796,0.064370953,0.073048502,0.070244856,0.070817843,0.086226277,0.083370291,0.084247425,0.098086171,0.09974844,0.098462895,0.112716451,0.112680614,0.112162545,0.126710042,0.125683516,0.126885191,0.141711399,0.140732691,0.139675945
318,0.001017318,0.001250019,0.00427834,0.004416864,0.004718118,0.008465745,0.00841549,0.007702608,0.011642686,0.011108251,0.0107216,0.014342993,0.015147703,0.0158363,0.019599909,0.018562078,0.019451773,0.022720095,0.022087011,0.023131369,0.025880773,0.0262012,0.026943339,0.02914235,0.030580569,0.029971736,0.035023097,0.033663474,0.03390668,0.036920697,0.038486056,0.036376487,0.044381399,0.044245433,0.044058453,0.051577408,0.05108045,0.05157904,0.057930712,0.059467644,0.058284216,0.067022532,0.066553578,0.066750139,0.07554163,0.074344762,0.072059013,0.088759437,0.086862206,0.086710818,0.099871174,0.10258387,0.101033315,0.114945509,0.116995119,0.114287876,0.128716171,0.130405575,0.127384692,0.143633708,0.144155026,0.143972337
319,0.000655487,0.000627852,0.003413058,0.003865202,0.00488118,0.006241241,0.008361468,0.00814492,0.010710005,0.013519394,0.010736273,0.014487815,0.015586746,0.015162795,0.018241135,0.018812619,0.019344825,0.022449734,0.021254482,0.023019254,0.026048021,0.025832886,0.026461389,0.029267991,0.029545899,0.029006781,0.034803692,0.033322457,0.034086034,0.037106715,0.036839198,0.036496133,0.045284767,0.044164874,0.045392808,0.053066328,0.052239537,0.052829757,0.058938332,0.058145721,0.057872001,0.067305319,0.068166412,0.06740541,0.075849034,0.073586166,0.071358703,0.087248109,0.087925725,0.086864233,0.101980232,0.103072122,0.101173088,0.116273105,0.115726166,0.115403153,0.129608318,0.130622774,0.131108955,0.145367935,0.146039099,0.14532271
320,0.001011299,0.000320638,0.004995333,0.004311568,0.005222788,0.007197578,0.007326242,0.007778263,0.011643857,0.011450196,0.009601973,0.01415005,0.014511208,0.015597291,0.019796425,0.019979749,0.018837273,0.022863209,0.021750797,0.023908453,0.027215492,0.02638161,0.026546849,0.029927749,0.030533716,0.030557349,0.036761265,0.03497301,0.03488411,0.039054044,0.039512586,0.037701469,0.046282586,0.044679627,0.045315366,0.051667172,0.052789502,0.052553698,0.061148133,0.06006882,0.059363998,0.067791253,0.068379521,0.06777022,0.076526284,0.073118955,0.074193001,0.088678181,0.088207647,0.089065038,0.101627626,0.103538446,0.103116624,0.11619553,0.117994472,0.117050126,0.133016929,0.131920755,0.131141648,0.145971313,0.147522688,0.14494209
321,0.000238812,-7.05E-05,0.00474031,0.004754102,0.004760148,0.00866167,0.007654866,0.008938534,0.013100176,0.010297465,0.010742136,0.015508672,0.015421841,0.016209532,0.019859584,0.019378632,0.020318881,0.023435239,0.023572905,0.022839472,0.027279299,0.027187409,0.026958434,0.030772839,0.030649982,0.030632233,0.037604272,0.034782492,0.034916565,0.039606892,0.040644579,0.038684942,0.046040904,0.045986481,0.046408016,0.053984825,0.05328222,0.053884529,0.059706524,0.061017688,0.060259819,0.068523869,0.070998393,0.068844274,0.076899864,0.075467922,0.074670747,0.088945158,0.090405345,0.088975079,0.103244752,0.104791798,0.10358651,0.117540598,0.116863206,0.118562706,0.134627909,0.132021591,0.132181004,0.147651553,0.147247598,0.147425368
322,0.000640788,-0.000587886,0.003624623,0.004735024,0.00515051,0.006990842,0.008484037,0.007492867,0.010977346,0.011073702,0.013116237,0.017774241,0.016122211,0.014811407,0.020639272,0.018881286,0.020184085,0.024146883,0.022791509,0.023674665,0.028573817,0.027213151,0.028136754,0.030917825,0.030995829,0.030392576,0.038233209,0.035757877,0.035202213,0.038658995,0.039812025,0.038678039,0.046634857,0.046155207,0.045468826,0.054124754,0.052163664,0.052026264,0.060068849,0.060721878,0.060181465,0.06905368,0.06969934,0.070245348,0.078602038,0.076448455,0.075088494,0.089503706,0.089784712,0.090015292,0.102424741,0.105354063,0.10421592,0.118352935,0.118146665,0.116705529,0.133028716,0.13351199,0.133000195,0.148368597,0.145928383,0.147447333
323,-3.12E-05,-3.84E-05,0.003913783,0.004414615,0.004635983,0.008425361,0.009510389,0.007645856,0.010795819,0.011670208,0.01194136,0.016374573,0.015572283,0.015059927,0.017832549,0.01858272,0.019921262,0.024072891,0.024049114,0.022115201,0.029154114,0.02760989,0.027450174,0.030969668,0.031925544,0.030970419,0.036467977,0.034940019,0.035551365,0.038140867,0.039715488,0.038605716,0.044104926,0.04636167,0.046129845,0.053648919,0.052879106,0.055488151,0.060233083,0.060314868,0.060577575,0.067994729,0.069640502,0.068001509,0.076179676,0.075555518,0.075924814,0.091230229,0.090651251,0.088817269,0.103194125,0.104869075,0.104310006,0.117876791,0.119063266,0.118212968,0.132074148,0.133606374,0.133618698,0.149183184,0.14796105,0.14782092
324,0.000706511,0.00079216,0.004580127,0.004201541,0.004715109,0.008936394,0.009243154,0.008426549,0.01219245,0.011870377,0.011612216,0.017438736,0.016639562,0.015596406,0.019382205,0.019551083,0.020027701,0.023483573,0.024470799,0.022545671,0.027606083,0.027259039,0.028070999,0.032171901,0.030244572,0.031441931,0.037579689,0.032947835,0.03420911,0.039283875,0.039719347,0.037412539,0.045817733,0.046266057,0.046766154,0.054220028,0.053371809,0.05251449,0.061421096,0.06042362,0.059942085,0.068826832,0.070278518,0.068606623,0.076977462,0.074390039,0.074170098,0.089444034,0.088920757,0.090078324,0.103532925,0.105833575,0.103517219,0.119605526,0.118541345,0.118791834,0.131723747,0.133386791,0.133889601,0.146886393,0.148091897,0.147086918
