Wavelength (nm),H2O,prot_15uM,vel_4uM_1-1,vel_4uM_1-2,vel_4uM_1-3,vel_2-1,vel_2-2,vel_2-3,vel_3-1,vel_3-2,vel_3-3,vel_4-1,vel_4-2,vel_4-3,vel_5-1,vel_5-2,vel_5-3,vel_6-1,vel_6-2,vel_6-3,vel_7-1,vel_7-2,vel_7-3,vel_8-1,vel_8-2,vel_8-3,vel_9-1,vel_9-2,vel_9-3,vel_10-1,vel_10-2,vel_10-3,vel_12-1,vel_12-2,vel_12-3,vel_14-1,vel_14-2,vel_14-3,vel_16-1,vel_16-2,vel_16-3,vel_18-1,vel_18-2,vel_18-3,vel_20-1,vel_20-2,vel_20-3,vel_24-1,vel_24-2,vel_24-3,vel_28-1,vel_28-2,vel_28-3,vel_32-1,vel_32-2,vel_32-3,vel_36-1,vel_36-2,vel_36-3,vel_40-1,vel_40-2,vel_40-3
506,-0.001917226,-0.001582422,-0.000589437,-0.001045207,-0.001012772,-0.000591299,-0.000457526,-0.000553814,0.000327141,0.000102236,-0.000151355,8.49E-06,4.62E-05,0.000123157,0.001001439,0.00089466,0.000229151,0.002013125,0.001130642,0.001097579,0.001830833,0.002820615,0.002540227,0.002960473,0.003329108,0.002873014,0.0041471,0.004734239,0.003711685,0.004627401,0.003872358,0.003980316,0.004129669,0.003828038,0.004719793,0.005450544,0.004983943,0.004045292,0.004962682,0.004568852,0.004957497,0.00536308,0.005820985,0.005066171,0.006004094,0.005634414,0.005215137,0.005814138,0.005575178,0.006297207,0.005599904,0.005785622,0.005025003,0.006276248,0.005816787,0.00543154,0.007362758,0.006909643,0.007158312,0.007026672,0.006921926,0.00662592
507,-0.002326137,-0.002076364,-0.000956365,-0.001077021,-0.00130631,-0.00069562,-0.000988753,-0.000752629,-0.000442321,-0.000476765,-0.000351131,0.000364317,-0.000241345,5.06E-05,0.000436735,0.000377918,0.000121319,0.001266322,0.000614709,0.000862418,0.002156573,0.00241227,0.001722836,0.002635197,0.002894773,0.002695961,0.003645558,0.00444448,0.003366985,0.004225719,0.003389917,0.00337596,0.003879384,0.003685891,0.003943222,0.004636689,0.004388204,0.00393805,0.00446514,0.004217904,0.003939016,0.004643073,0.005400506,0.004449266,0.005283783,0.005143647,0.004652466,0.005280953,0.004901469,0.006182868,0.005523003,0.0053293,0.005516658,0.006199515,0.005409706,0.005408107,0.007309814,0.00646525,0.006862566,0.0069199,0.006544106,0.006929369
508,-0.002388339,-0.001637665,-0.000876236,-0.00083955,-0.001087763,-0.000204503,-0.000593005,-0.00030902,1.82E-05,5.00E-05,0.000217885,0.001112579,0.000443446,0.00057199,0.000990127,0.00068875,0.000859851,0.001643656,0.00130267,0.001610007,0.002856988,0.002197184,0.002486645,0.003122875,0.003335421,0.002776559,0.004135575,0.004833957,0.003580094,0.004274288,0.003754008,0.003619898,0.004740755,0.004293006,0.004072571,0.004655527,0.004800924,0.004184082,0.004898406,0.004384439,0.004178253,0.005083771,0.005510156,0.004463153,0.0052836,0.005673542,0.005339599,0.00522056,0.005589049,0.006034961,0.0061386,0.005702707,0.005187053,0.006100743,0.006083233,0.005807002,0.007234083,0.007077292,0.00769531,0.007733016,0.007273856,0.00719613
509,-0.0024477,-0.001778138,-0.001184891,-0.001480842,-0.001287883,-0.000586335,-0.000835416,-0.000765188,-4.76E-05,0.000356311,-0.000344613,0.000666557,0.000251762,4.19E-05,0.000709518,-1.12E-05,0.000517043,0.001039633,0.001133393,0.001386281,0.002301994,0.002350765,0.001898349,0.002378718,0.002885808,0.002200983,0.003908559,0.004619055,0.003237846,0.004012608,0.002913014,0.003429521,0.004083337,0.003836892,0.003865541,0.004556164,0.003813467,0.004269923,0.00505656,0.004229614,0.004072571,0.004792392,0.005024008,0.004449239,0.005105693,0.005237407,0.005042994,0.004866206,0.004983079,0.005926726,0.005995406,0.005554569,0.005255931,0.006158476,0.005910771,0.00543964,0.007308498,0.006876057,0.007377739,0.007146996,0.00724169,0.006735249
510,-0.002654502,-0.001426921,-0.001074181,-0.001149833,-0.001270177,-0.000226909,-0.000576512,-0.000274305,0.00023112,0.000419788,0.000444094,0.000712733,0.000532309,0.000583914,0.000952923,0.000595604,0.000612454,0.001298256,0.000976376,0.001736195,0.002861158,0.002721618,0.002579259,0.003049226,0.003189184,0.002545903,0.003785499,0.0046723,0.003808766,0.004091228,0.003688998,0.003267682,0.004671698,0.003902891,0.003991942,0.005237905,0.004460407,0.004531209,0.004925791,0.004717648,0.004788151,0.005212754,0.005629195,0.005410204,0.005139404,0.005782421,0.005426534,0.004993082,0.005581025,0.006583053,0.006362451,0.005361796,0.005467268,0.006292584,0.00616391,0.005668034,0.007462949,0.007389324,0.007615744,0.007690277,0.00701557,0.007059795
511,-0.002055084,-0.00144622,-0.000958173,-0.000964991,-0.000842702,-0.000598537,-0.00038315,-0.000367167,0.000175413,-8.48E-05,0.000551462,0.000749268,0.000301547,0.000678483,0.000942884,0.000856193,0.000349005,0.001459987,0.001089197,0.00135982,0.00248792,0.002728026,0.002200722,0.002532442,0.002975824,0.002887554,0.003587715,0.00436956,0.003529149,0.004391786,0.004085584,0.003886749,0.004536833,0.004472751,0.004355545,0.005236201,0.004856285,0.00438619,0.004901155,0.004678946,0.004563201,0.005048231,0.005626809,0.005509999,0.005518152,0.005799079,0.005397702,0.005437254,0.005347592,0.00661496,0.006111638,0.005438014,0.00543154,0.005953441,0.006109249,0.005673253,0.007293098,0.006880923,0.007793891,0.007555394,0.007427268,0.006841292
512,-0.002007263,-0.001203427,-0.000479661,-0.000715571,-0.000996759,-0.000300122,-0.000485711,-0.000152959,0.00039678,0.000359835,0.0003831,0.000764308,0.000339783,0.000601489,0.001427002,0.001072017,0.000697228,0.002012293,0.001264842,0.001483883,0.002953957,0.002615301,0.002582098,0.002906213,0.003476331,0.002543456,0.003853475,0.004345557,0.003729439,0.004021412,0.003915533,0.003769074,0.00454196,0.004203188,0.004444375,0.005183543,0.0047177,0.00421035,0.005034928,0.004809326,0.004717935,0.005220194,0.005709657,0.004832543,0.005573893,0.005679076,0.005485697,0.005073688,0.005489262,0.00646123,0.006181135,0.005605673,0.005318032,0.00640703,0.005877316,0.005426219,0.006926397,0.007281752,0.007366391,0.00754146,0.007597488,0.006630993
513,-0.002216026,-0.001599032,-0.000587111,-0.00078648,-0.000840532,-0.000191566,-0.000490314,-0.000439063,6.95E-05,-0.000265405,0.000188102,0.000524171,0.000448136,0.000217212,0.001039633,0.000431967,0.000540006,0.001600602,0.000991061,0.001318923,0.002412062,0.002400426,0.002027611,0.002698436,0.003371733,0.002864154,0.003942882,0.004668793,0.003664327,0.004156482,0.004242004,0.00380746,0.004512403,0.00414791,0.004205383,0.005092833,0.004667746,0.004290052,0.004681746,0.004482088,0.004805321,0.005436914,0.005554385,0.005301313,0.005513329,0.005833841,0.005062845,0.00501314,0.005538288,0.006438267,0.006142224,0.005761645,0.005360826,0.006058558,0.00595373,0.005002221,0.007461317,0.006762881,0.007085738,0.007741844,0.007414523,0.007156075
514,-0.001749366,-0.000766531,-0.00056705,-0.000555778,-0.000375029,0.000144649,0.000354679,9.54E-05,0.000773358,0.000588424,0.000526192,0.001110217,0.001050168,0.000950199,0.001437806,0.001155766,0.001108634,0.002271964,0.001434819,0.001884881,0.00322332,0.00293918,0.002959717,0.003530115,0.003463128,0.003493632,0.004555929,0.005183255,0.004196235,0.004961398,0.004380934,0.004341165,0.004677847,0.004744026,0.004827387,0.005821352,0.005007877,0.004971532,0.005238481,0.005084504,0.005037023,0.005676453,0.006146897,0.005591461,0.005845778,0.005998477,0.005747402,0.004780169,0.005933707,0.006944519,0.006873901,0.006095703,0.005935308,0.006491079,0.006623213,0.005343399,0.00788957,0.00740557,0.007705006,0.008034155,0.008036712,0.007540275
515,-0.002443634,-0.001657986,-0.00113114,-0.001007606,-0.001028938,-0.000529097,-0.000481781,-0.000301105,0.000161558,-0.000133758,0.000360508,0.000856583,-8.61E-05,0.000435413,0.000466275,0.000382141,0.000363384,0.001665665,0.000832021,0.001483389,0.002060485,0.002372914,0.002356986,0.002565302,0.002948327,0.002198615,0.003659367,0.004295046,0.003923735,0.004234972,0.003691817,0.003252372,0.004384125,0.004447932,0.003704949,0.005273538,0.004353009,0.004679888,0.004807939,0.004618636,0.004850578,0.005240734,0.005462681,0.004856363,0.005442811,0.005632604,0.005104881,0.004902647,0.005351654,0.006100533,0.006071972,0.005461973,0.005139508,0.00601643,0.005791236,0.007907073,0.006896335,0.007041484,0.00721529,0.007252718,0.007759737,0.00696359
