Wavelength (nm),H2O,prot_5uM,vel_1,vel_2,vel_3,vel_4,vel_5,vel_6,vel_7,vel_8,vel_9,vel_10,vel_12,vel_14,vel_16,vel_18,vel_20,vel_24,vel_28,vel_32,vel_40
681,-0.000265664,0.000411393,0.000270515,0.00073384,0.000948461,0.00039805,0.001051751,0.0010927,0.001299087,0.001785422,0.002711225,0.003017007,0.003046958,0.003272507,0.003202796,0.003903256,0.007428584,0.004633994,0.005773738,0.006104839,0.006086383
682,-5.01E-05,0.000264661,-2.39E-05,0.000424193,0.000925866,0.000963405,0.001278498,0.001645604,0.001219905,0.00230215,0.00284667,0.002977153,0.003023054,0.002856076,0.003176406,0.00401812,0.007205,0.004484364,0.005422523,0.005734811,0.0058865
683,-0.000567826,3.29E-05,0.000595397,0.000294527,0.00066018,0.00045521,0.000737366,0.001088107,0.001643941,0.001902821,0.00227886,0.002637515,0.002503229,0.002527573,0.002927165,0.003924388,0.007209263,0.004259754,0.005697094,0.005930873,0.005382579
684,0.000419918,0.000415461,0.000885114,0.000767057,0.001235377,0.001148187,0.001471441,0.001107285,0.001908671,0.002108058,0.002461236,0.00301586,0.00297744,0.003326656,0.003696073,0.004285033,0.007484834,0.004705558,0.006342435,0.006034278,0.00623268
685,-0.000589954,-0.000110881,-6.94E-05,-1.28E-05,0.00023011,0.000115286,0.000724505,0.000662565,0.001066594,0.001478116,0.001989954,0.002176007,0.002653376,0.002596498,0.00287601,0.003604263,0.00653885,0.004473065,0.005132279,0.00537262,0.005337371
686,-0.000363908,-4.79E-05,-4.45E-05,-1.91E-05,0.000990672,0.00036442,0.000697332,0.001285093,0.001323805,0.001963716,0.002564625,0.003132418,0.002947181,0.002689397,0.003184907,0.004214532,0.007369446,0.004449658,0.005452222,0.00543078,0.005391176
687,5.38E-05,1.56E-05,0.000545268,0.001031693,0.001079699,0.000896476,0.001243503,0.001478844,0.001973207,0.002235119,0.002678432,0.002964747,0.003210072,0.003289617,0.003454518,0.00435314,0.008049054,0.004579734,0.005802332,0.005296754,0.005908515
688,5.91E-05,0.000178443,3.27E-05,0.000425308,0.000357892,0.00070034,0.000875776,0.001016099,0.001332451,0.001303319,0.002600509,0.002695961,0.00260129,0.003028242,0.003513465,0.003631253,0.007250402,0.004445709,0.005541329,0.005301313,0.005913343
689,-0.000822188,-0.000435546,-0.000501743,0.000163941,0.000596745,9.02E-05,0.000685328,0.000804348,0.000912973,0.001496169,0.002217426,0.002484353,0.002745219,0.003075269,0.003039581,0.003798373,0.006876847,0.004227654,0.005605726,0.005364443,0.005927277
690,-8.21E-05,-0.000357855,-6.67E-05,8.06E-05,0.000446711,0.000551903,0.000448006,0.000704903,0.001217829,0.0013183,0.002432574,0.00274996,0.002370884,0.002704661,0.002839948,0.003533716,0.007199104,0.004096507,0.005117584,0.005098097,0.005572346
691,-0.000385685,-2.06E-05,-0.000171694,0.000327659,0.000798747,0.000533216,0.000794831,0.001006343,0.001601485,0.001940522,0.002499714,0.002445278,0.002564156,0.003033064,0.003347238,0.003976659,0.007216817,0.004128571,0.005032938,0.005079371,0.005873931
692,-0.000231669,-0.000180957,0.00027137,0.000857672,0.00098403,0.000757696,0.000673091,0.00119727,0.001664859,0.002213809,0.00263452,0.002997666,0.003195912,0.003533064,0.003459997,0.004284719,0.007812261,0.00463436,0.00550022,0.005753671,0.005870389
693,0.000228089,2.71E-05,-6.80E-05,0.000365716,0.000734177,0.000125125,0.00086024,0.001008341,0.001443494,0.001728944,0.002414379,0.003036792,0.002612905,0.002619546,0.003223111,0.00431434,0.007586503,0.004029903,0.005480899,0.005390652,0.005997112
694,-0.000721464,-0.0002831,-0.000460629,8.83E-06,0.000714159,0.000131495,0.00085998,0.000968931,0.00122842,0.001759534,0.002164716,0.002670696,0.002936052,0.003069091,0.003121337,0.003656653,0.007204815,0.0041799,0.005001828,0.005406351,0.005812537
695,-0.000400582,-0.000144264,-0.000307106,0.000329343,0.00050945,0.00022739,0.000447877,0.001021418,0.001007329,0.001307811,0.002415159,0.002944679,0.002633062,0.002797687,0.003278089,0.003537161,0.007254956,0.004247677,0.005224752,0.005262612,0.005946303
696,-0.000193636,-0.000204968,-0.000307106,0.000445052,0.00079369,5.80E-05,0.000684109,0.000567843,0.000946905,0.001471779,0.002305898,0.00278341,0.002650902,0.002307329,0.002581291,0.003472939,0.007299363,0.004100871,0.004966583,0.005426193,0.005903713
697,-0.00034006,-0.000428409,-0.000328834,0.000390277,0.00052614,0.000191339,0.000889602,0.000979697,0.000969864,0.001332399,0.002388896,0.003025296,0.002819859,0.002679187,0.003064607,0.003583095,0.006990342,0.004278027,0.005050038,0.005645087,0.005819018
698,0.000173885,0.000284399,0.001157427,0.000739518,0.001316015,0.001336502,0.001689208,0.001631105,0.002152021,0.002528979,0.00342733,0.003233803,0.003493998,0.003636657,0.003869328,0.004343047,0.008176045,0.005525257,0.005984068,0.006315119,0.006276931
699,-0.000376478,-2.28E-05,0.000397557,0.000657354,0.001273306,0.000989375,0.00093479,0.001144372,0.001848121,0.002043033,0.002177594,0.002847556,0.003391299,0.003475914,0.003973341,0.00452841,0.007974433,0.004781975,0.005985328,0.005764294,0.00661927
700,-0.000399289,-0.000153994,0.000463062,7.63E-05,0.000542028,0.000815656,0.000494937,0.000983148,0.001441338,0.002082125,0.00243942,0.002693383,0.003273654,0.003071672,0.003317605,0.004178175,0.008153887,0.004663455,0.005586531,0.006062942,0.006003122
701,-6.87E-05,-0.000375598,0.000130588,0.000499265,0.000722768,0.000697721,0.001037635,0.000763245,0.001705138,0.002170153,0.002468551,0.002467484,0.002847035,0.002890447,0.003389499,0.003841645,0.007563138,0.00443483,0.005762222,0.006104497,0.00639907
702,3.71E-05,0.00014975,0.000397765,0.000393697,0.00090833,0.000681491,0.001223592,0.001218114,0.001647943,0.001705398,0.002505025,0.002927869,0.002889092,0.003120216,0.003181126,0.003879723,0.007707272,0.004408862,0.005468474,0.005482394,0.006297522
703,0.00026075,1.12E-05,0.000407507,0.00081244,0.000806293,0.000687765,0.001117873,0.001501078,0.001690352,0.002257106,0.002547466,0.002985806,0.003412902,0.003204752,0.003314709,0.004082579,0.00745842,0.004944275,0.005539703,0.005951158,0.006145716
704,-0.000159584,-0.000292361,0.000403905,5.06E-05,0.000599933,0.000241454,0.000957723,0.000966959,0.001118574,0.001743888,0.002675827,0.002821787,0.00264486,0.002756655,0.00317166,0.003938128,0.007249586,0.00445209,0.005268272,0.005455787,0.005795144
705,5.67E-05,0.000300381,0.00124924,0.000462233,0.000626296,0.0004691,0.001132174,0.001336891,0.001316041,0.001770191,0.002215084,0.003078867,0.00300791,0.003063382,0.003551541,0.00425463,0.007714914,0.004846129,0.005318242,0.006017768,0.006248043
706,-0.000580958,-0.00013764,-0.000232342,0.000426785,0.000412508,0.000471588,0.000744082,0.001082994,0.001372466,0.001633938,0.002480526,0.002498386,0.002932351,0.002674108,0.003097951,0.003543581,0.007252271,0.004458419,0.005368846,0.005250376,0.005993254
707,-0.000474593,-0.000150009,-4.58E-05,0.00045166,0.000588606,0.000299293,0.000912506,0.001285223,0.001332373,0.001312874,0.002012345,0.002556188,0.002715992,0.002617358,0.003126787,0.003949909,0.007478593,0.00453372,0.004797809,0.005574575,0.006029133
708,0.000225318,0.00016407,0.000509398,0.00087697,0.001015476,0.000750254,0.001323831,0.001507442,0.00183806,0.002154258,0.002325182,0.00295711,0.003023706,0.003217426,0.003575761,0.004444192,0.007677656,0.004918958,0.005045875,0.005760858,0.006314751
709,6.42E-05,0.000247696,0.000191029,0.000564033,0.000919614,0.00077118,0.001170119,0.001031511,0.001652646,0.002028573,0.00245543,0.002896909,0.00321547,0.003297207,0.003366203,0.00397807,0.007145365,0.004538926,0.005637718,0.006004907,0.006268474
710,-0.000379323,-9.48E-05,0.000522123,0.000176345,0.000701014,0.000431293,0.000835911,0.000910068,0.001372804,0.001883659,0.002046388,0.002719535,0.002686767,0.002943975,0.0030821,0.003907593,0.007271118,0.004374241,0.005002299,0.005423677,0.006200355
711,-0.00055826,-1.29E-06,-0.000183079,0.000228167,0.00080982,0.000793275,0.001166537,0.001028553,0.001621622,0.00179296,0.002300771,0.00258577,0.003229161,0.003033638,0.003191557,0.00418335,0.00700268,0.004606654,0.005205077,0.005389682,0.006054305
712,-0.000179508,4.92E-06,0.000268132,0.000858606,0.001016696,0.000690487,0.000815474,0.001374102,0.001817784,0.002090683,0.002202153,0.003068178,0.003312622,0.002890082,0.003296059,0.004127369,0.007514279,0.004220465,0.004969778,0.005672598,0.005906704
713,-0.000400892,-0.000124338,0.000275126,0.00063511,0.001202202,0.000854093,0.001006577,0.001248253,0.001774687,0.002081735,0.002421953,0.003030171,0.003275533,0.003080275,0.003581268,0.004127866,0.007524656,0.004678449,0.005004158,0.005466272,0.006192977
714,-3.05E-06,0.000177252,0.000358513,0.000755881,0.000817471,0.000812336,0.001378205,0.001616763,0.001867982,0.002459023,0.002168176,0.003202092,0.002955468,0.003205925,0.003430826,0.004252852,0.007535982,0.00473013,0.005150274,0.005354746,0.006087355
