Wavelength (nm),H2O,prot_30uM,vel_1-1,vel_1-2,vel_1-3,vel_2-1,vel_2-2,vel_2-3,vel_3-1,vel_3-2,vel_3-3,vel_4-1,vel_4-2,vel_4-3,vel_5-1,vel_5-2,vel_5-3,vel_6-1,vel_6-2,vel_6-3,vel_7-1,vel_7-2,vel_7-3,vel_8-1,vel_8-2,vel_8-3,vel_9-1,vel_9-2,vel_9-3,vel_10-1,vel_10-2,vel_10-3,vel_12-1,vel_12-2,vel_12-3,vel_14-1,vel_14-2,vel_14-3,vel_16-1,vel_16-2,vel_16-3,vel_18-1,vel_18-2,vel_18-3,vel_20-1,vel_20-2,vel_20-3,vel_24-1,vel_24-2,vel_24-3,vel_28-1,vel_28-2,vel_28-3,vel_32-1,vel_32-2,vel_32-3
373,-0.000676029,0.001525262,0.001097138,0.001373063,0.00126897,0.001857506,0.001033042,0.001199892,0.003039008,0.002002619,0.000985042,0.001359716,0.002721983,0.002210609,0.002855399,0.003310301,0.003522781,0.005401765,0.003828926,0.004279987,0.00488474,0.004387655,0.004233587,0.005517104,0.004435379,0.004722148,0.00612781,0.005959949,0.005762327,0.006366786,0.0057399,0.005716345,0.007170497,0.006334135,0.006831141,0.006669291,0.006741848,0.005570511,0.007641087,0.006453532,0.007704005,0.007833135,0.008677832,0.007605891,0.008231916,0.008808282,0.008133974,0.007974327,0.00823838,0.008950611,0.008641917,0.009945462,0.009598559,0.008940834,0.009196618,0.008739209
374,-0.000437304,0.001556669,0.001427599,0.001887169,0.00247092,0.001771048,0.001799042,0.002657231,0.002983148,0.002199864,0.002257549,0.001880046,0.003227909,0.002769785,0.003428139,0.003045342,0.002644781,0.006857386,0.003789886,0.00565188,0.005669844,0.005002011,0.006012099,0.005785228,0.005991128,0.006256263,0.007170286,0.00575695,0.006404928,0.005742234,0.005830509,0.006488503,0.00675828,0.007619616,0.006626656,0.007240663,0.007167681,0.007182261,0.007153023,0.008278192,0.007360362,0.00862581,0.008640386,0.0078373,0.010004422,0.008939142,0.009432605,0.009173219,0.009822188,0.00938462,0.009507266,0.009844086,0.010214903,0.009183265,0.009428267,0.008992972
375,-0.000277564,0.001480428,0.001799692,0.003058481,0.001822463,0.002513331,0.003526957,0.003019848,0.003712024,0.003676492,0.002570302,0.004045893,0.002866369,0.003415563,0.004938148,0.003424016,0.00489406,0.007084791,0.006062102,0.004985854,0.0060993,0.006129989,0.005554229,0.006029186,0.006388562,0.006028634,0.006527183,0.00676204,0.007023331,0.007184287,0.007594933,0.006905513,0.007654734,0.008058573,0.007059164,0.008559036,0.007726929,0.008437186,0.008495783,0.008385008,0.008396119,0.009055345,0.008515662,0.009206031,0.010334736,0.009593716,0.009472077,0.009992979,0.011114944,0.010069828,0.009465093,0.009110458,0.009449457,0.009752715,0.009815516,0.009010494
376,-0.000904187,0.000856946,0.002422812,0.001831899,0.000943662,0.001924323,0.001729568,0.001156285,0.002558714,0.00290874,0.001613411,0.002217556,0.002212274,0.001972999,0.002661893,0.003811769,0.003112212,0.004703307,0.005176051,0.004108188,0.004901993,0.005479038,0.006290955,0.005530684,0.00516738,0.004584966,0.005756845,0.005951446,0.005892403,0.006418957,0.00620692,0.005453847,0.007346197,0.007571541,0.006025249,0.006936155,0.007612135,0.006837584,0.008401212,0.007157391,0.007590323,0.008240729,0.008041037,0.00793768,0.008897209,0.009294773,0.009113683,0.009063857,0.009061979,0.008711055,0.008588818,0.009281895,0.010073273,0.009671448,0.009038086,0.009309954
377,-0.001041489,0.000322504,0.000604003,0.000515229,0.00056831,0.0006285,0.001701396,0.000981669,0.001697576,0.001155351,0.001364754,0.001724448,0.001933553,0.001634613,0.003973237,0.003006737,0.002620561,0.004942626,0.00380981,0.003291625,0.005334515,0.004473039,0.004259754,0.004595666,0.004632293,0.005148231,0.005606906,0.006037795,0.005171624,0.006327227,0.005687023,0.004890317,0.005824789,0.006222702,0.006178693,0.00589054,0.006514885,0.006488924,0.00700952,0.006924214,0.007332218,0.007241927,0.007381188,0.00841586,0.00893132,0.008319327,0.008501696,0.008638591,0.008030384,0.008456717,0.007643564,0.009167773,0.008948629,0.008515476,0.008769716,0.008017779
378,-0.001005799,0.001705788,0.001620244,0.001629287,0.00181703,0.002301083,0.002521975,0.002112116,0.003119643,0.001688532,0.002051564,0.003374238,0.002735112,0.003358429,0.003916421,0.003410814,0.003927601,0.006746659,0.005648497,0.005293977,0.005867529,0.005619991,0.0058266,0.005299977,0.006089271,0.006326387,0.006377529,0.007005126,0.00638914,0.006762302,0.006076881,0.00640414,0.006997892,0.00761116,0.007769172,0.008275923,0.007292835,0.006727835,0.008254764,0.007806437,0.007857121,0.008332547,0.009502239,0.008685965,0.009091161,0.00922832,0.010373812,0.009602502,0.010031336,0.0097012,0.009879146,0.009614862,0.009864184,0.010307777,0.010012792,0.008997332
379,-0.001462474,0.000122095,0.001018278,0.000158192,0.001159737,0.001349537,0.001571504,0.001209055,0.001683439,0.001312225,0.002188833,0.001317392,0.001588625,0.001825349,0.002774527,0.002093127,0.003499843,0.005213068,0.004217825,0.004033038,0.004287699,0.004963807,0.004735181,0.005328566,0.005912058,0.005017487,0.00539246,0.005838144,0.004832543,0.005510995,0.006045118,0.00548339,0.005541853,0.006342593,0.005950528,0.006572567,0.006782653,0.005959162,0.007952417,0.007059296,0.006760462,0.007444437,0.008076268,0.007967076,0.008711953,0.008022394,0.007582367,0.008495969,0.009030263,0.008150854,0.008660058,0.009174303,0.007911186,0.00920439,0.008791852,0.008685886
380,0.000143976,0.001639342,0.001570049,0.001065271,0.001441079,0.001784538,0.002825669,0.00213186,0.002722035,0.002846774,0.00162674,0.002507134,0.002864545,0.002364325,0.004058096,0.003108614,0.003905581,0.005629904,0.004764283,0.004673032,0.005889832,0.005972153,0.00569392,0.005992755,0.005954701,0.005171912,0.00656965,0.006528286,0.005913632,0.006576325,0.006881922,0.006243552,0.007385638,0.006514281,0.007100368,0.007308682,0.007349199,0.007201999,0.007042668,0.00746316,0.008820725,0.008567062,0.008730678,0.008346612,0.009822982,0.008237694,0.00915072,0.009673089,0.009841279,0.009269122,0.009427632,0.00872875,0.009104669,0.009214676,0.009032377,0.009920698
381,-0.000163724,0.001228446,0.000670939,0.001796729,0.00224126,0.000273856,0.000326752,0.001498714,0.002096171,0.000799421,0.001932825,0.00180996,0.002907672,0.001383788,0.00290233,0.002672337,0.002453009,0.004630096,0.003894298,0.003641199,0.00366404,0.004119738,0.003557674,0.005461999,0.004934771,0.005697277,0.005921032,0.00567029,0.006129727,0.006256841,0.005036997,0.005060776,0.005324452,0.005657334,0.00560313,0.006261042,0.00655919,0.005915757,0.00815183,0.00748731,0.007998637,0.008852611,0.008009315,0.009331218,0.008537573,0.009258227,0.00882614,0.009844007,0.009275521,0.008536068,0.009344283,0.009168671,0.009747156,0.008841409,0.009365866,0.009243921
382,-0.001026511,0.001014127,0.001458376,0.000813062,0.001746851,0.001340838,0.001241659,0.001324792,0.001803175,0.002173457,0.001847913,0.002026284,0.002428565,0.002327602,0.003589359,0.003434009,0.003388352,0.005166594,0.004262446,0.003804013,0.004660473,0.004576255,0.00418876,0.004574188,0.004116419,0.004253349,0.005099616,0.005154597,0.005654738,0.005117794,0.00528588,0.005276656,0.005038856,0.00528512,0.005726313,0.005600193,0.005744149,0.005244507,0.007221265,0.00770137,0.006859279,0.007697655,0.007970715,0.008203954,0.007865872,0.00822701,0.00776427,0.008587418,0.008318773,0.007708353,0.00798896,0.008213555,0.009013744,0.008680049,0.00888701,0.008947175
383,-0.000952749,0.00079885,0.000983797,0.001188367,0.001214662,0.000771076,0.001433677,0.001722057,0.001745941,0.000761119,0.000872845,0.002004205,0.001891875,0.001394331,0.002659497,0.003539144,0.003324882,0.00486652,0.004399683,0.003747872,0.00464234,0.004641189,0.004657908,0.005287006,0.004456641,0.003616244,0.005399432,0.005600403,0.005760544,0.005929692,0.005835835,0.005746693,0.005623557,0.005365675,0.005732135,0.006370174,0.006133008,0.005876555,0.007475301,0.007526184,0.007226266,0.007804275,0.006959618,0.007263326,0.007537272,0.007938102,0.007646251,0.008528201,0.008011451,0.008216774,0.008152596,0.008694944,0.008235267,0.008527119,0.008939459,0.007797686
384,-0.002166523,0.001088781,0.00108424,0.000617146,0.000860836,0.000204392,0.001020666,0.000582903,0.00200652,0.001290233,0.001644357,0.001663534,0.00211594,0.000653517,0.002872232,0.001979214,0.002604493,0.004240331,0.004026376,0.003777665,0.004118902,0.004445448,0.004066143,0.003813231,0.004131498,0.003956074,0.004745466,0.005063945,0.005009265,0.004924115,0.005765554,0.004988578,0.005299951,0.005683954,0.005758393,0.005994986,0.005584303,0.004963729,0.006023647,0.00651315,0.006224146,0.006745608,0.007356518,0.006841817,0.007139917,0.007452627,0.00727912,0.0085178,0.007713912,0.007781716,0.007531768,0.007742951,0.008093358,0.007861602,0.007950704,0.007213606
385,-0.000782139,0.001623414,0.001879162,0.001145099,0.001204953,0.002094532,0.001651919,0.001801096,0.002594832,0.0019976,0.002166407,0.001971621,0.002534056,0.00200769,0.003855225,0.003479828,0.003213227,0.005680099,0.005352598,0.004350394,0.005356214,0.00509925,0.004932048,0.006205975,0.004840344,0.005550164,0.00616391,0.005880517,0.005073609,0.005645507,0.005748084,0.005559682,0.006782627,0.006290246,0.006436743,0.006762066,0.007000338,0.005277757,0.008144524,0.006897124,0.007121682,0.008331254,0.008012875,0.007932144,0.008658184,0.008217592,0.008735326,0.008875649,0.008972517,0.009170072,0.009408533,0.009118679,0.009009621,0.009001085,0.008451967,0.009268672
386,-0.000398513,0.00153955,0.0016824,0.001713221,0.001840582,0.001882541,0.000778104,0.001887169,0.002808812,0.002430388,0.001907683,0.001790387,0.00294374,0.002885678,0.00391198,0.003811873,0.003545277,0.00513943,0.004336354,0.003844074,0.005713644,0.004925189,0.005646582,0.005511153,0.005075861,0.004179063,0.006693817,0.005948586,0.005983307,0.006459654,0.006588993,0.006218684,0.006937207,0.006255711,0.006388589,0.006362635,0.006928317,0.006395629,0.007930035,0.008217855,0.00716676,0.008151066,0.007935966,0.008592277,0.009074006,0.008034208,0.008378463,0.009099726,0.009126293,0.009857538,0.008149668,0.009379171,0.009107444,0.008785142,0.008926352,0.009266609
387,-0.00027803,0.001124699,0.00159777,0.001341981,0.002661971,0.001404252,0.001540017,0.001745863,0.001866189,0.001772738,0.00194411,0.002540982,0.002556371,0.00287317,0.003435862,0.003661116,0.00394108,0.005410991,0.005129607,0.005218438,0.005274534,0.004941552,0.005454764,0.005153889,0.005455892,0.005541303,0.005578482,0.006196863,0.005592012,0.006301908,0.0061433,0.006463279,0.006271232,0.005913763,0.006859095,0.007180892,0.006872113,0.0061966,0.007528765,0.00768564,0.006767614,0.007529239,0.008016699,0.007779317,0.008814886,0.008450805,0.008325713,0.008443177,0.009142234,0.008991042,0.009317967,0.009365549,0.009139432,0.009171527,0.008920381,0.008711107
388,-0.000746996,0.001811337,0.001569036,0.001451805,0.001760912,0.00219708,0.000879174,0.002623999,0.002911972,0.002369791,0.002099968,0.001961584,0.003298981,0.00247381,0.003486274,0.003905477,0.00386084,0.005528298,0.004820189,0.004943044,0.005233084,0.0059589,0.005727257,0.005351497,0.005486405,0.005201357,0.006400253,0.005969633,0.006187358,0.006205318,0.006637617,0.006064149,0.007222765,0.006776369,0.006427049,0.006957776,0.007215633,0.005985065,0.008317876,0.00824991,0.006799508,0.008019045,0.007886723,0.008141781,0.008697453,0.008978516,0.008210126,0.009615099,0.009322067,0.008549374,0.008652453,0.009266425,0.008953702,0.008522842,0.0094184,0.009085531
389,-0.000476196,0.000449924,0.001227719,0.001110114,0.000839127,0.001272034,0.001338579,0.001283457,0.00242768,0.001709868,0.000771025,0.000821413,0.001484246,0.002300225,0.003042839,0.003451204,0.002921797,0.005340307,0.004521165,0.004043124,0.004646762,0.004915764,0.005133667,0.005155461,0.004407031,0.004756693,0.005687993,0.00536578,0.005339389,0.005489944,0.005263398,0.005624842,0.006191874,0.005694628,0.005218517,0.005509946,0.006659407,0.005461528,0.007482912,0.006751786,0.006798456,0.007192709,0.007818665,0.007220791,0.007569486,0.007713254,0.008220494,0.009009595,0.00847427,0.008239304,0.007868745,0.008453524,0.008272836,0.008763641,0.007865319,0.007778448
